time,x,y,z,r,p,y,
2794.36,-0.329185,0.0430894,0.0155035,3.75743e-06,-3.14159,-1.84645e-05,
2794.37,-0.329185,0.0430894,0.0155035,3.75743e-06,-3.14159,-1.84645e-05,
2794.37,-0.329185,0.0430894,0.0155035,3.75743e-06,-3.14159,-1.84645e-05,
2794.38,-0.329185,0.0430894,0.0155035,3.75743e-06,-3.14159,-1.84645e-05,
2794.38,-0.329185,0.0430894,0.0155035,3.75743e-06,-3.14159,-1.84645e-05,
2794.39,-0.329185,0.0430894,0.0155035,3.75743e-06,-3.14159,-1.84645e-05,
2794.39,-0.329185,0.0430894,0.0155035,3.75743e-06,-3.14159,-1.84645e-05,
2794.4,-0.329185,0.0430894,0.0155035,3.75743e-06,-3.14159,-1.84645e-05,
2794.41,-0.329185,0.0430894,0.0155035,3.75743e-06,-3.14159,-1.84645e-05,
2794.41,-0.329185,0.0430894,0.0155035,3.75743e-06,-3.14159,-1.84645e-05,
2794.42,-0.3292,0.0431132,0.015501,1.45928e-07,-3.14153,9.54452e-06,
2794.43,-0.32918,0.0430947,0.0155002,-7.38767e-05,-3.14156,-9.11556e-06,
2794.43,-0.329184,0.0431007,0.0155114,-0.000106129,-3.14153,-3.4787e-05,
2794.44,-0.329189,0.0430998,0.0154916,-3.87433e-06,3.14159,-2.87335e-06,
2794.44,-0.329225,0.0431152,0.0155107,-1.91262e-05,-3.14143,-1.98525e-05,
2794.45,-0.329166,0.0430945,0.0154907,4.69364e-05,3.14154,3.81048e-05,
2794.45,-0.329171,0.0431008,0.0155057,7.36554e-05,3.14158,-4.3228e-05,
2794.46,-0.329172,0.0430837,0.0154993,7.44303e-05,-3.14158,-7.85399e-06,
2794.46,-0.32919,0.0430992,0.0155079,-8.82707e-05,-3.14155,-3.28513e-05,
2794.47,-0.329202,0.0431166,0.0155146,-0.000111359,-3.14152,-0.000109463,
2794.48,-0.329171,0.0430921,0.0154777,7.41482e-05,3.1415,-2.81512e-05,
2794.48,-0.329169,0.0430962,0.0154813,1.06822e-05,3.14152,-0.000100293,
2794.49,-0.329185,0.04308,0.0154915,-4.79621e-05,3.14159,-5.43562e-05,
2794.49,-0.329171,0.0430783,0.0154884,7.82413e-07,3.14155,-6.03005e-05,
2794.5,-0.329179,0.0430932,0.0155027,-6.10062e-07,-3.14157,-1.46913e-06,
2794.5,-0.329195,0.0431175,0.0154978,-7.75141e-05,-3.14155,-6.23119e-05,
2794.51,-0.32918,0.0430837,0.0154911,3.0783e-05,3.14154,-1.15178e-05,
2794.51,-0.329223,0.0431121,0.0154918,2.3332e-05,-3.14152,2.99628e-05,
2794.52,-0.329197,0.0431033,0.0154873,-5.38266e-05,-3.14159,2.61622e-05,
