time,CH1,CH2,CH3,CH4,CH5,CH6,
3582.28,2078.96,2011.38,1974.15,1689.35,2092.13,2301.21,
3582.28,2085.47,2009.17,1974.95,1689.57,2091.69,2300.68,
3582.29,2085.28,2009.54,1975.26,1689.32,2091.71,2300.74,
3582.29,2085.47,2009.3,1974.88,1689.28,2091.65,2300.96,
3582.3,2085.51,2009.38,1975.25,1689.37,2091.96,2300.84,
3582.3,2085.42,2009.23,1974.99,1686.65,2089.44,2298.96,
3582.31,2084.16,2008.38,1974.58,1688.7,2091.77,2300.68,
3582.31,2091.59,2006.71,1975.06,1689.44,2091.68,2300.7,
3582.32,2085.06,2009.14,1975.21,1689.1,2092.09,2301,
3582.33,2085.42,2009.22,1974.87,1689.43,2091.62,2300.79,
3582.33,2085.6,2008.98,1975.13,1689.47,2092.16,2301,
3582.34,2085.49,2009.29,1975.04,1689.28,2091.87,2300.72,
3582.34,2085.49,2009.13,1975.25,1689.39,2091.85,2300.98,
3582.35,2084.92,2009.23,1975.17,1688.97,2092.05,2300.75,
3582.35,2085.46,2008.95,1974.94,1689.42,2092.06,2300.93,
3582.36,2085.42,2001.85,1973.75,1691.08,2098.89,2300.2,
3582.37,2084.53,2001.97,1980.75,1683.66,2095.84,2301.17,
3582.37,2085.73,2009.46,1975.11,1689.41,2091.68,2300.84,
3582.37,2085.53,2009.57,1975.34,1689.16,2091.93,2300.79,
3582.38,2085.2,2009.48,1975.04,1689.1,2092.11,2301.14,
3582.39,2085.5,2009.09,1975.12,1689,2091.59,2300.67,
3582.39,2085.51,2008.95,1975.12,1689.57,2092.28,2301.06,
3582.4,2085.39,2009.17,1974.85,1689.29,2092.12,2301.01,
3582.4,2085.37,2008.97,1970.64,1692.24,2085.96,2269.03,
3582.41,2084.94,2007.06,1975.73,1683.23,2092.21,2301.04,
3582.42,2085.87,2009.17,1975.02,1689.23,2091.83,2300.74,
3582.42,2085.29,2009.23,1975.11,1689.44,2091.75,2300.87,
3582.43,2085.48,2009.15,1975.06,1689.41,2091.96,2300.66,
3582.43,2085.84,2009.38,1975.18,1689.3,2091.62,2300.62,
3582.44,2085.56,2009.07,1975.17,1689.16,2092.4,2300.59,
3582.44,2085.19,2009.02,1975.14,1689.36,2091.95,2300.44,
3582.45,2085.29,2015.44,1968.63,1690.03,2091.46,2292.8,
3582.46,2090.15,2002.97,1975.73,1689.21,2091.93,2300.84,
3582.46,2085.52,2009.33,1975.12,1689.59,2091.92,2300.89,
3582.46,2085.54,2009.35,1975.36,1689.48,2092.22,2300.98,
3582.47,2085.84,2009.14,1974.95,1689.27,2091.75,2300.96,
3582.47,2085.44,2009.23,1975.25,1689.16,2091.9,2300.96,
3582.48,2085.56,2009.26,1974.87,1689.19,2091.92,2300.7,
3582.49,2085.5,2009.33,1975.01,1689.36,2091.91,2300.83,
3582.49,2085.69,2009.71,1975.25,1689.3,2092.08,2300.72,
3582.5,2085.71,2009.25,1974.97,1689.42,2092.13,2301.4,
3582.51,2085.69,2009.19,1975.04,1689.31,2092.01,2300.56,
3582.51,2085.14,2009.16,1974.85,1689.42,2091.83,2300.74,
3582.52,2085.41,2009.38,1975.24,1689.24,2091.85,2300.6,
3582.52,2085.19,2009.3,1975.04,1689.57,2092.03,2300.84,
3582.53,2085.5,2009.16,1974.94,1689.21,2091.86,2301.13,
3582.53,2085.48,2009.2,1974.89,1689.42,2091.96,2300.99,
3582.54,2085.2,2009.26,1979.96,1688.07,2085.56,2268.43,
3582.54,2079.2,2012.54,1973.49,1684.66,2094.1,2300.68,
3582.55,2081.63,2011.31,1975.46,1689.44,2091.88,2300.76,
3582.55,2085.45,2009.38,1975.38,1689.34,2092.07,2300.89,
3582.56,2085.36,2009.36,1975.06,1689.12,2091.94,2300.81,
3582.56,2085.62,2009.59,1975.01,1689.17,2092.04,2300.67,
3582.57,2085.33,2009.32,1974.99,1689.33,2092.18,2300.63,
3582.58,2085.56,2009.04,1975.15,1689.42,2091.78,2300.51,
3582.58,2085.47,2009.43,1975.35,1689.45,2092.09,2300.95,
3582.59,2085.68,2009.44,1975.24,1689.15,2092.02,2300.93,
3582.6,2085.65,2009.28,1975.22,1689.41,2091.93,2300.68,
3582.6,2085.32,2009.41,1974.96,1689.37,2092.01,2300.87,
3582.61,2085.54,2009.01,1975.05,1689.21,2092.09,2300.72,
3582.61,2085.27,2009.49,1975.23,1689.38,2091.97,2300.63,
3582.62,2085.19,2009.09,1975.23,1689.6,2091.91,2300.59,
3582.63,2085.68,2009.36,1975.2,1689.25,2091.84,2300.82,
3582.63,2085.57,2009.12,1971.59,1693.29,2091.22,2300.47,
3582.64,2082.93,2002.31,1980,1683.22,2092.25,2290.13,
3582.64,2090.36,2009.18,1974.17,1688.97,2091.68,2300.4,
3582.64,2085.4,2008.93,1975.27,1689.71,2092.12,2300.79,
3582.65,2085.53,2009.59,1975.18,1689.43,2091.76,2300.76,
3582.65,2081.78,2006.66,1973.45,1688.24,2091.29,2300.09,
3582.66,2084.93,2008.81,1974.71,1689.19,2092.06,2301,
3582.67,2085.6,2009.06,1975.23,1689.39,2091.98,2300.79,
3582.67,2085.19,2008.92,1971.73,1692.76,2085.73,2304.48,
3582.68,2090.93,2009.22,1975.07,1689.44,2092.06,2300.93,
3582.69,2085.49,2009.32,1975.13,1689.26,2092.12,2300.59,
3582.69,2085.53,2009.28,1975.35,1689.49,2092.2,2301.13,
3582.7,2085.39,2009.27,1975.1,1689.53,2091.75,2300.77,
3582.7,2085.63,2009.39,1975.48,1689.17,2091.84,2301.01,
3582.71,2085.51,2009.15,1975.09,1689.4,2092.26,2301.08,
3582.72,2085.5,2009.22,1975.27,1689.34,2092.05,2300.76,
3582.72,2085.56,2002.93,1977.76,1688.12,2087.68,2305.31,
3582.72,2085.76,2011.49,1973.65,1685.9,2092.23,2301.28,
3582.73,2085.71,2009.3,1975.17,1689.36,2091.76,2300.65,
3582.73,2085.64,2009.19,1975.34,1689.33,2091.92,2300.96,
3582.74,2085.35,2009.38,1975.01,1689.24,2091.9,2301.02,
3582.75,2085.78,2009.3,1975.17,1689.18,2092.23,2300.79,
3582.75,2085.28,2009.16,1975.15,1689.34,2092.14,2300.89,
3582.76,2085.62,2009.14,1975.16,1689.2,2092.04,2300.87,
