time,x,y,z,r,p,y,
522.663,0,0,0,0,0,0,
522.67,-0.329174,0.0431017,0.0154835,0.000138122,3.14151,-8.46461e-05,
522.678,-0.329187,0.0430921,0.0154764,-8.3087e-06,3.14153,-1.82247e-05,
522.681,-0.329194,0.0430823,0.0154982,0.000136679,-3.14157,-7.64569e-05,
522.687,-0.329172,0.0430893,0.0154895,9.52084e-06,3.14157,-1.8514e-05,
522.69,-0.329196,0.0430854,0.0155011,-5.47614e-05,-3.14157,2.18657e-05,
522.698,-0.329195,0.0430845,0.0155001,-4.7719e-05,3.14159,-2.58173e-05,
522.705,-0.329198,0.043102,0.0155065,-4.78867e-05,-3.14156,-5.36952e-05,
522.708,-0.329166,0.0430754,0.0154823,-6.67865e-05,3.14153,-5.0383e-05,
522.715,-0.329205,0.0430865,0.0154932,8.55415e-05,-3.14155,2.45034e-05,
522.723,-0.329192,0.0430989,0.0155086,9.89077e-05,-3.14158,-8.23562e-05,
522.726,-0.329172,0.0430614,0.0154799,-2.27745e-05,3.14155,-4.18664e-05,
522.732,-0.3292,0.0430914,0.0155005,1.73208e-05,-3.14155,2.94224e-06,
522.739,-0.329169,0.0430907,0.0154953,9.53799e-05,3.14155,-7.53988e-05,
522.742,-0.329194,0.0431122,0.0154914,-7.99617e-05,-3.14159,-2.9565e-05,
522.751,-0.329208,0.0431061,0.0155096,-4.801e-05,-3.14154,-3.8961e-05,
522.754,-0.32918,0.0431083,0.0154996,5.90674e-05,3.14157,6.42483e-05,
522.759,-0.329172,0.0430894,0.0154884,-6.9048e-05,3.14155,-1.25236e-06,
522.767,-0.329199,0.0430848,0.015506,6.00625e-05,-3.14152,9.88728e-06,
522.77,-0.329205,0.0430824,0.0154935,4.28517e-05,-3.14156,3.09562e-06,
522.775,-0.329191,0.0430861,0.0155027,0.000131625,-3.14159,2.86651e-05,
522.778,-0.329172,0.0430902,0.0154985,4.33232e-05,3.14157,3.49533e-05,
522.786,-0.329192,0.0430824,0.0154972,-2.14411e-06,-3.14156,3.9871e-05,
522.794,-0.329183,0.0431054,0.0154951,-4.91465e-05,-3.14157,-1.80833e-06,
522.798,-0.329183,0.0431063,0.0154925,-4.33275e-05,3.14155,-8.86201e-07,
522.804,-0.32916,0.0430746,0.0154764,1.06572e-05,3.1415,-0.000142684,
522.812,-0.329226,0.0431174,0.0155042,-8.04764e-05,-3.14148,-8.88883e-05,
522.815,-0.329181,0.0430872,0.0154917,-2.1377e-05,-3.14157,1.95387e-05,
522.821,-0.329176,0.0430739,0.0154892,-1.49077e-05,3.14155,-5.7345e-05,
522.824,-0.329199,0.0431,0.0155025,-2.88974e-06,-3.14155,-2.94568e-05,
522.832,-0.329188,0.0431071,0.0154898,-8.94983e-06,3.14157,-1.57906e-05,
522.839,-0.329194,0.0430845,0.0154961,0.000106494,-3.14158,-9.94397e-06,
522.842,-0.329199,0.0430889,0.0155129,0.000113846,-3.14152,2.97717e-06,
522.85,-0.329181,0.0431139,0.0154843,-8.92921e-06,3.14151,1.44672e-05,
522.853,-0.329188,0.043094,0.0154952,-6.67548e-05,3.14158,2.13377e-05,
522.86,-0.329165,0.0430783,0.0154767,-3.61794e-05,3.1415,-1.50575e-06,
522.867,-0.329163,0.0430892,0.0155042,3.13924e-05,3.14157,1.9169e-05,
522.87,-0.329206,0.043104,0.0155027,6.73752e-05,-3.14159,-7.8167e-05,
522.878,-0.329174,0.0430691,0.015496,-0.000106422,3.14157,-7.01536e-06,
522.885,-0.329183,0.0430967,0.0154993,-2.76566e-05,3.14158,-2.77348e-06,
522.888,-0.329197,0.0430901,0.015506,-3.65606e-05,-3.14152,4.54941e-06,
522.892,-0.329183,0.0430935,0.0154833,4.7805e-05,3.14155,-1.26403e-05,
522.897,-0.329189,0.0430907,0.0154972,-8.55958e-05,3.14159,5.63491e-05,
522.9,-0.32918,0.043093,0.0155007,-2.83398e-06,-3.14158,-2.10927e-05,
522.907,-0.329179,0.0430977,0.0154957,-8.80951e-05,-3.14158,-1.55662e-05,
522.915,-0.329173,0.0430764,0.0154809,-5.45687e-05,3.14154,-0.000113627,
522.918,-0.329182,0.0430821,0.0154853,-0.00011851,3.14155,7.07956e-06,
522.926,-0.329188,0.0430811,0.0154986,2.25386e-05,-3.14157,3.28468e-05,
522.929,-0.329196,0.043083,0.0154986,-4.02625e-05,3.14157,1.13397e-05,
522.937,-0.329183,0.0430858,0.0154944,-9.45117e-05,3.14157,3.22273e-05,
522.944,-0.329183,0.043082,0.0155029,2.94409e-05,-3.14157,-4.38032e-05,
522.947,-0.329182,0.0430934,0.0155032,4.61729e-06,-3.14157,-2.59327e-06,
522.954,-0.329221,0.0431169,0.0155168,3.45574e-05,-3.14147,-6.34582e-05,
522.957,-0.329185,0.043089,0.0155055,5.35587e-05,-3.14154,-5.0074e-05,
522.964,-0.329174,0.0430909,0.0154825,-3.82989e-06,3.14153,-2.72352e-05,
522.972,-0.329174,0.0430907,0.0154963,0.000100963,3.14157,2.06286e-05,
522.975,-0.329161,0.0430791,0.0154893,-9.19261e-05,3.14148,-8.43359e-06,
