time,FX,FY,FZ,RX,RY,RZ,
1542.78,-6.49385,2.97604,0.141086,-0.356277,0.182068,-0.12395,
1542.79,-6.34802,2.91012,0.181102,-0.356943,0.186071,-0.121252,
1542.8,-6.44117,2.96664,0.241975,-0.35786,0.182427,-0.123916,
1542.8,-6.45719,2.97634,0.134076,-0.357525,0.18264,-0.121801,
1542.81,-6.76999,3.04577,0.203055,-0.357969,0.174799,-0.125716,
1542.81,-6.42019,3.19099,0.178947,-0.364252,0.181236,-0.121497,
1542.82,-6.69441,3.06829,0.0727237,-0.358892,0.175575,-0.126102,
1542.82,-6.46624,3.01153,0.289446,-0.357956,0.179534,-0.121637,
1542.83,-6.50819,3.05688,0.350201,-0.359414,0.178372,-0.123222,
1542.83,-6.46787,3.27799,0.178211,-0.36394,0.181789,-0.121291,
1542.84,-6.34425,3.14978,0.139316,-0.363606,0.18405,-0.123102,
1542.84,-6.38347,3.0153,0.142134,-0.358865,0.184574,-0.122093,
1542.85,-6.50474,3.22155,0.148693,-0.360489,0.181189,-0.120697,
1542.85,-6.56062,3.02914,0.175597,-0.358564,0.178625,-0.122259,
1542.86,-6.37554,2.96929,0.259234,-0.356598,0.182033,-0.122105,
1542.87,-6.60381,3.0098,0.109209,-0.358475,0.180339,-0.119686,
1542.87,-6.38665,3.01519,0.168608,-0.358229,0.18125,-0.123721,
1542.88,-6.38646,3.06233,0.108715,-0.359323,0.182394,-0.123776,
1542.88,-6.28954,3.25033,0.0421268,-0.363857,0.189471,-0.120809,
1542.89,-6.44107,3.11756,0.25803,-0.362251,0.182958,-0.124565,
1542.89,-6.24246,3.0926,0.172285,-0.359266,0.187413,-0.124629,
1542.9,-6.48888,2.98338,0.163172,-0.357978,0.181872,-0.12433,
1542.9,-6.38959,3.06224,0.0850253,-0.359902,0.181707,-0.121685,
1542.91,-6.60692,3.06805,0.0789856,-0.362027,0.181097,-0.123309,
1542.91,-6.50856,3.08036,0.174901,-0.359413,0.183434,-0.124989,
1542.92,-6.27189,3.16235,0.247154,-0.360504,0.185685,-0.120349,
1542.92,-6.44487,3.0121,0.233595,-0.357573,0.183666,-0.120991,
1542.93,-6.55546,2.97872,0.243261,-0.356277,0.179377,-0.126067,
1542.94,-6.24225,3.14098,0.265735,-0.362624,0.19121,-0.121712,
1542.94,-6.52646,2.98592,0.14586,-0.356676,0.177688,-0.125562,
1542.95,-6.4125,2.99647,0.159254,-0.356418,0.182873,-0.123092,
1542.95,-6.15395,3.1281,0.268868,-0.362457,0.18858,-0.123023,
1542.96,-6.41831,3.20217,0.231117,-0.364584,0.182791,-0.124408,
1542.97,-6.66452,2.96536,0.0880861,-0.355622,0.179151,-0.123012,
1542.97,-6.43909,3.09336,0.128326,-0.356925,0.180583,-0.117232,
1542.98,-6.53103,3.02542,0.0792629,-0.360628,0.181328,-0.121158,
1542.98,-6.39336,3.03327,0.0248801,-0.356148,0.18539,-0.122193,
1542.99,-6.62609,3.07875,0.193925,-0.362042,0.177943,-0.125207,
1542.99,-6.17286,3.02438,-0.0322441,-0.358986,0.190076,-0.122273,
1543,-6.43297,3.19056,0.233634,-0.363744,0.182753,-0.122917,
1543,-6.45742,3.11358,0.12797,-0.362704,0.180953,-0.119393,
1543.01,-6.16883,3.01044,0.141936,-0.357878,0.186622,-0.122568,
1543.01,-6.21938,3.2009,0.15412,-0.362794,0.188174,-0.12053,
1543.02,-6.27639,3.02242,0.234114,-0.358153,0.184116,-0.118628,
1543.03,-6.32713,3.18228,0.267304,-0.3667,0.184627,-0.124714,
1543.03,-6.45744,2.91662,0.20612,-0.357314,0.182646,-0.122637,
1543.04,-6.29435,3.00797,0.236429,-0.357655,0.184235,-0.121472,
