time,FX,FY,FZ,RX,RY,RZ,
2595.07,-6.73233,3.84871,0.297838,-0.36806,0.149892,-0.156518,
2595.08,-6.67059,3.84963,0.4476,-0.365822,0.15088,-0.15748,
2595.08,-6.86228,3.9143,0.361713,-0.369722,0.147917,-0.157006,
2595.09,-6.91755,3.92195,0.463917,-0.369314,0.147006,-0.159213,
2595.09,-6.76394,3.88353,0.427406,-0.366402,0.148967,-0.157561,
2595.1,-6.82823,3.83549,0.371853,-0.366486,0.151934,-0.153072,
2595.11,-6.94973,3.7316,0.471722,-0.366434,0.147408,-0.161936,
2595.11,-6.59019,3.70239,0.339243,-0.363233,0.155679,-0.156973,
2595.12,-6.65628,3.77499,0.435515,-0.365614,0.154052,-0.160043,
2595.12,-6.54313,3.73893,0.407321,-0.366773,0.154675,-0.157914,
2595.13,-6.97067,3.85873,0.406002,-0.367452,0.144427,-0.159373,
2595.14,-6.57912,4.0185,0.435007,-0.373108,0.153623,-0.1586,
2595.14,-6.70442,3.93009,0.494717,-0.368762,0.152445,-0.157891,
2595.15,-6.91717,3.82342,0.421184,-0.368625,0.147056,-0.159544,
2595.15,-6.77085,3.69887,0.515663,-0.363883,0.151305,-0.156191,
2595.16,-6.71912,3.8668,0.452621,-0.367488,0.152298,-0.152784,
2595.16,-6.74175,3.58304,0.463857,-0.362395,0.149484,-0.156065,
2595.17,-6.66016,3.84423,0.502588,-0.365568,0.152256,-0.156272,
2595.17,-6.92899,3.86345,0.637217,-0.368373,0.144037,-0.158286,
2595.18,-6.75676,3.94956,0.532091,-0.372053,0.149795,-0.154501,
2595.19,-6.78372,3.80547,0.564606,-0.366631,0.148875,-0.15834,
2595.19,-6.63106,3.76777,0.544193,-0.368786,0.152125,-0.156256,
2595.2,-6.59782,3.79063,0.509974,-0.369147,0.15288,-0.158327,
2595.2,-6.68268,3.98562,0.575275,-0.372787,0.150716,-0.156475,
2595.21,-6.48722,3.94627,0.439211,-0.371436,0.153572,-0.160449,
2595.21,-6.62022,3.83055,0.299147,-0.366598,0.151945,-0.155956,
