time,x,y,z,r,p,y,
2595.07,-0.329172,0.0430992,0.00551099,6.44515e-05,3.14159,4.36755e-05,
2595.08,-0.329205,0.0431038,0.00551442,-1.34828e-05,-3.1415,-9.46731e-06,
2595.08,-0.3292,0.0430989,0.00551185,-5.61065e-05,-3.14152,-2.33566e-05,
2595.09,-0.329182,0.0430901,0.00550073,-3.82396e-05,-3.14157,5.40675e-05,
2595.09,-0.329187,0.0431166,0.00550867,-4.56249e-05,-3.14155,-2.81548e-05,
2595.1,-0.329191,0.043097,0.00550281,5.54031e-05,-3.14159,-3.55906e-05,
2595.11,-0.329166,0.0430787,0.00548236,7.32852e-05,3.14153,-5.04907e-05,
2595.11,-0.329226,0.0431217,0.00551497,-6.60121e-05,-3.1415,-5.79362e-05,
2595.12,-0.329196,0.0431074,0.0055137,-0.000124286,-3.14153,-4.55605e-05,
2595.12,-0.329168,0.0430863,0.00549318,6.57462e-05,3.14156,2.27047e-06,
2595.13,-0.329175,0.0430907,0.00549291,5.98442e-05,3.14156,-4.51063e-06,
2595.14,-0.329167,0.0430952,0.0055136,4.64444e-05,3.14159,5.20013e-05,
2595.14,-0.329165,0.0430907,0.0055046,5.84849e-05,3.14158,-2.59531e-05,
2595.15,-0.329197,0.0430983,0.00549339,-1.18208e-05,3.14158,-2.34211e-05,
2595.15,-0.329186,0.0430995,0.00550931,-0.000113118,-3.14158,-4.65687e-05,
2595.16,-0.329202,0.0430885,0.0055018,-3.97738e-05,-3.14157,-5.03756e-07,
2595.16,-0.329172,0.0431111,0.00550653,0.000134981,3.14155,5.35283e-05,
2595.17,-0.329199,0.043105,0.00552163,-6.68613e-05,-3.14155,-6.53428e-05,
2595.17,-0.32918,0.0430787,0.00551513,-1.49898e-05,-3.14152,5.04006e-05,
2595.18,-0.329229,0.0431203,0.00551976,-2.8698e-05,-3.14148,-2.63891e-05,
2595.19,-0.329176,0.043084,0.00549285,-5.13576e-05,3.14154,-8.54086e-05,
2595.19,-0.329179,0.0431191,0.00551529,-0.000155986,-3.14158,-2.83779e-05,
2595.2,-0.329189,0.0430895,0.00551812,-6.00851e-05,-3.14153,2.54074e-05,
2595.2,-0.329214,0.043101,0.00549883,-5.40861e-06,-3.14155,3.61055e-05,
2595.21,-0.329195,0.0430957,0.00550671,-1.52425e-05,-3.14159,-1.13945e-06,
2595.21,-0.32917,0.0430856,0.00550585,-6.55328e-06,3.14158,-4.1813e-05,
2595.22,-0.329199,0.0431077,0.00550662,-5.11371e-05,-3.14156,1.58054e-05,
2595.22,-0.329211,0.0431018,0.00551654,-5.9751e-05,-3.14147,-3.41074e-05,
2595.23,-0.329203,0.043104,0.00552246,-5.98262e-05,-3.14149,-6.88759e-05,
2595.24,-0.329214,0.0431185,0.00551621,-2.07028e-05,-3.1415,-0.00013334,
2595.24,-0.329191,0.0430899,0.00550901,1.88123e-05,3.14159,7.94545e-05,
2595.25,-0.329186,0.0430895,0.0054925,1.80529e-05,-3.14157,6.75604e-05,
2595.3,-0.329194,0.043108,0.00550287,-3.89974e-05,-3.14156,9.74296e-06,
2595.3,-0.329168,0.0430896,0.00550223,1.1383e-05,-3.14159,-3.01743e-06,
2595.31,-0.329208,0.0431299,0.00552579,-0.000116191,-3.14151,-0.000100801,
2595.31,-0.329165,0.0430782,0.00550665,-5.2992e-05,3.14158,-5.50612e-05,
