time,CH1,CH2,CH3,CH4,CH5,CH6,
2595.07,2635.72,2425.23,2161.47,2282.26,2327.74,2472.92,
2595.08,2636.28,2425.4,2161.89,2282.47,2328.28,2473.3,
2595.08,2636.06,2425.14,2161.48,2282.16,2327.58,2472.89,
2595.09,2635.37,2425.29,2160.8,2282.06,2327.15,2472.54,
2595.09,2634.78,2424.26,2160.38,2281.13,2326.66,2471.75,
2595.1,2634.56,2424.14,2160.31,2280.64,2326.5,2478.06,
2595.11,2623.77,2424.88,2159.2,2279.84,2325.78,2470.87,
2595.11,2633.55,2423.23,2159.52,2280.69,2325.85,2471.54,
2595.12,2633.26,2422.87,2159.55,2280.28,2325.51,2470.59,
2595.12,2633.2,2422.93,2158.79,2280.05,2325.02,2470.84,
2595.13,2633.02,2423.24,2158.77,2280.06,2325.58,2470.67,
2595.14,2632.61,2422.66,2158.6,2279.45,2324.94,2470.09,
2595.14,2632.47,2422.34,2158.36,2279.26,2324.17,2469.85,
2595.15,2631.63,2421.84,2157.84,2278.99,2324.36,2469.56,
2595.15,2635.69,2387.35,2186.35,2275.62,2324.66,2498.59,
2595.16,2643.06,2411.48,2164.75,2279.43,2324.88,2469.95,
2595.16,2632.34,2421.69,2158.83,2279.31,2325.12,2470.16,
2595.17,2632.92,2423.69,2159.58,2280.84,2325.73,2471.6,
2595.17,2633.16,2423.38,2159.5,2280.53,2326.07,2471.24,
2595.18,2633.92,2423.27,2159.74,2280.53,2326.13,2471.42,
2595.19,2633.89,2423.15,2159.36,2280.55,2325.65,2471.1,
2595.19,2633.5,2423.15,2158.71,2280.27,2325.2,2470.79,
2595.2,2622.62,2434.6,2155.32,2267.37,2332.22,2470.74,
2595.2,2632.47,2422.65,2159.19,2279.86,2325.62,2470.7,
2595.21,2633.04,2422.85,2159.07,2280.14,2325.36,2470.92,
2595.21,2633.31,2423.39,2159.93,2280.48,2326.28,2471.06,
2595.22,2633.55,2423.25,2159.61,2280.32,2325.77,2470.98,
2595.22,2633.4,2423.13,2159.26,2280.16,2325.6,2470.87,
2595.23,2632.94,2422.56,2159.05,2279.93,2325.17,2470.37,
2595.24,2632.47,2422.29,2158.7,2279.36,2324.81,2469.61,
2595.24,2632.5,2421.78,2158.37,2278.7,2324.07,2469.18,
2595.25,2631.85,2421.46,2158.08,2278.33,2324.09,2469.54,
2595.3,2629.76,2419.42,2155.72,2276.79,2321.75,2467.17,
2595.3,2628.78,2419.56,2155.46,2276.75,2321.94,2467.03,
2595.31,2629.15,2419.16,2155.79,2276.18,2321.75,2466.77,
2595.31,2628.57,2418.68,2155.66,2276.32,2321.25,2466.49,
2595.32,2628.35,2418.8,2154.63,2276.3,2320.93,2466.52,
2595.32,2628.68,2418.57,2155.39,2276.01,2321.19,2466.17,
2595.33,2627.93,2418.51,2155.07,2275.47,2329.02,2429.2,
2595.33,2618.4,2419.67,2155.12,2275.63,2321.19,2466.11,
2595.34,2627.99,2418.08,2155.28,2276.15,2321.25,2466.48,
2595.34,2628.49,2418.82,2155.45,2276.44,2321.25,2466.64,
2595.35,2628.8,2418.72,2155.71,2276.24,2321.56,2466.57,
2595.35,2628.88,2418.66,2155.73,2276.18,2321.6,2466.67,
2595.36,2628.62,2418.41,2155.57,2276.14,2321.22,2466.35,
2595.37,2628.51,2418.49,2155.19,2276.13,2321.37,2466.22,
2595.37,2628.03,2418.38,2154.93,2275.6,2324.62,2466.73,
2595.38,2619.3,2387.9,2143.02,2276.54,2321.71,2426.79,
