time,FX,FY,FZ,RX,RY,RZ,
7.88357,-4.14354,0.426661,-1.22361,-0.31611,0.259914,-0.198338,
7.88985,-3.95239,0.504193,-1.23501,-0.315745,0.267404,-0.194722,
7.89791,-3.95772,0.247931,-1.19797,-0.31208,0.26615,-0.195355,
7.90094,-4.09328,0.324431,-1.34908,-0.311518,0.263905,-0.193584,
7.90845,-3.87439,0.356948,-1.16016,-0.310522,0.270117,-0.194524,
7.91575,-3.83495,0.271955,-1.26063,-0.310235,0.267576,-0.199051,
7.91886,-3.96322,0.456055,-1.25153,-0.31575,0.265977,-0.194886,
7.92693,-3.93203,0.394506,-1.2504,-0.312658,0.26417,-0.20004,
7.93,-3.89468,0.60756,-1.22103,-0.319077,0.266634,-0.19721,
7.93611,-3.92654,0.369341,-1.18685,-0.313242,0.268116,-0.194343,
7.94421,-3.88707,0.29079,-1.28739,-0.312251,0.265793,-0.194477,
7.94733,-3.98411,0.454443,-1.18693,-0.313144,0.266444,-0.193984,
7.95545,-4.11007,0.306568,-1.27449,-0.309652,0.261801,-0.199172,
7.9625,-3.8834,0.383042,-1.21071,-0.31597,0.267524,-0.196578,
7.96554,-3.84583,0.58766,-1.32577,-0.318562,0.270783,-0.19622,
7.97343,-3.68539,0.563217,-1.31111,-0.317888,0.272227,-0.194733,
7.97648,-3.9008,0.499092,-1.18437,-0.314008,0.265866,-0.197559,
7.98266,-3.80378,0.482762,-1.16721,-0.314905,0.26909,-0.195028,
7.99078,-3.9165,0.57845,-1.18477,-0.316709,0.267657,-0.195614,
7.9939,-3.99918,0.467701,-1.25092,-0.314117,0.263292,-0.196158,
8.00191,-3.86328,0.378306,-1.19655,-0.312968,0.266425,-0.193751,
8.00494,-3.99168,0.450059,-1.15378,-0.316809,0.263561,-0.196077,
8.012,-3.91444,0.472611,-1.19226,-0.312475,0.267344,-0.197707,
8.01992,-3.85182,0.533504,-1.26901,-0.317521,0.267371,-0.192878,
8.02299,-3.79957,0.431429,-1.27719,-0.317427,0.269091,-0.195202,
8.0291,-3.98992,0.534119,-1.16121,-0.31912,0.265363,-0.193278,
8.03221,-4.01775,0.451099,-1.31507,-0.314871,0.264529,-0.193167,
8.04043,-3.74715,0.383992,-1.22891,-0.313929,0.271563,-0.193897,
8.04554,-3.76041,0.57347,-1.35406,-0.318162,0.273389,-0.20026,
8.04857,-4.35341,0.437827,-1.09921,-0.314184,0.255435,-0.190574,
8.05645,-3.96019,0.659403,-1.26573,-0.320647,0.266233,-0.196639,
8.06352,-3.9685,0.301597,-1.30824,-0.312051,0.264323,-0.193844,
8.11204,-3.77641,0.311938,-1.20315,-0.311222,0.27106,-0.198976,
8.116,-4.11983,0.442904,-1.24719,-0.317043,0.263833,-0.196761,
8.11904,-3.85835,0.625027,-1.28561,-0.318851,0.267029,-0.197319,
8.12692,-4.17766,0.38112,-1.4231,-0.316395,0.261036,-0.200526,
8.12994,-3.93863,0.488676,-1.22014,-0.315286,0.265157,-0.197408,
8.13406,-3.93126,0.462737,-1.25652,-0.316771,0.266375,-0.194744,
8.13923,-4.00615,0.449156,-1.17885,-0.31328,0.262296,-0.199885,
8.14235,-3.9616,0.408353,-1.10707,-0.316165,0.267316,-0.196657,
8.15046,-3.78484,0.400385,-1.19988,-0.314987,0.270605,-0.20032,
8.15659,-4.07517,0.386537,-1.14746,-0.310808,0.2632,-0.200337,
