time,FX,FY,FZ,RX,RY,RZ,
3278.99,-5.67468,3.59927,0.427937,-0.35203,0.195342,-0.41949,
3279,-5.48374,3.5553,0.418435,-0.351615,0.197443,-0.417718,
3279,-5.15482,3.33972,0.411993,-0.346552,0.20407,-0.409232,
3279.01,-5.2427,3.74718,0.427431,-0.352714,0.197309,-0.4265,
3279.02,-5.36399,3.75861,0.388642,-0.354608,0.197249,-0.422192,
3279.02,-5.50588,3.61978,0.66662,-0.353574,0.190312,-0.418486,
3279.03,-5.10109,3.27461,0.501237,-0.342145,0.204317,-0.409756,
3279.03,-5.10109,3.27461,0.501237,-0.342145,0.204317,-0.409756,
3279.04,-5.4903,3.91521,0.452049,-0.356638,0.196265,-0.423675,
3279.04,-5.42634,3.73355,0.562223,-0.353705,0.199326,-0.425783,
3279.05,-5.37864,3.6235,0.4688,-0.351592,0.19586,-0.419843,
3279.06,-5.48856,3.59459,0.53536,-0.348065,0.196291,-0.419997,
3279.06,-5.21098,3.6558,0.332511,-0.349759,0.199327,-0.422926,
3279.07,-5.47703,3.91442,0.348612,-0.358817,0.193989,-0.427361,
3279.08,-5.47054,3.62738,0.391238,-0.351143,0.198018,-0.41812,
3279.08,-5.47054,3.62738,0.391238,-0.351143,0.198018,-0.41812,
3279.09,-5.23868,3.27741,0.425219,-0.344532,0.201327,-0.413569,
3279.09,-5.33394,3.97704,0.482614,-0.361203,0.202359,-0.424974,
3279.1,-5.37571,3.72818,0.404375,-0.352684,0.201686,-0.423871,
3279.1,-5.69862,3.60803,0.536396,-0.352317,0.190865,-0.421957,
3279.11,-5.69862,3.60803,0.536396,-0.352317,0.190865,-0.421957,
3279.11,-4.964,3.14361,0.40417,-0.340035,0.205567,-0.410374,
3279.12,-5.09226,2.96551,0.551252,-0.334349,0.20467,-0.410529,
3279.12,-4.67752,3.09918,0.520994,-0.337959,0.215104,-0.407999,
3279.13,-4.73386,3.11162,0.504267,-0.340015,0.210924,-0.408759,
3279.14,-5.33713,3.69877,0.51676,-0.351845,0.198033,-0.424317,
3279.14,-5.40453,3.82186,0.532265,-0.354026,0.19625,-0.424091,
3279.15,-5.43853,3.65963,0.492112,-0.353303,0.200026,-0.418494,
3279.16,-5.43853,3.65963,0.492112,-0.353303,0.200026,-0.418494,
3279.16,-5.00405,3.21972,0.43288,-0.341467,0.20563,-0.408811,
3279.17,-4.96241,3.06143,0.543005,-0.336221,0.206001,-0.408139,
3279.17,-5.54363,4.00992,0.464419,-0.361268,0.193878,-0.429515,
3279.18,-4.91032,3.07493,0.460912,-0.338986,0.211267,-0.410477,
3279.18,-4.99836,3.14445,0.524279,-0.339459,0.205283,-0.405743,
3279.19,-4.99836,3.14445,0.524279,-0.339459,0.205283,-0.405743,
3279.2,-5.47624,3.80599,0.389415,-0.357197,0.195207,-0.426359,
3279.2,-5.53812,3.85588,0.535476,-0.35764,0.194334,-0.42503,
3279.21,-5.65971,3.50085,0.345001,-0.34728,0.190034,-0.419332,
3279.21,-5.32991,3.16606,0.454046,-0.340615,0.197761,-0.40947,
3279.22,-5.32991,3.16606,0.454046,-0.340615,0.197761,-0.40947,
3279.22,-5.65664,3.87353,0.396951,-0.358961,0.191077,-0.424512,
3279.23,-5.80532,3.71251,0.372654,-0.354106,0.187154,-0.424193,
3279.23,-5.72681,3.51494,0.370363,-0.351399,0.189744,-0.423194,
3279.24,-5.48446,3.57479,0.36809,-0.349766,0.192314,-0.419058,
3279.25,-5.50525,3.74872,0.572934,-0.35379,0.197668,-0.425988,
3279.25,-5.63104,3.84802,0.349007,-0.355527,0.191255,-0.425637,
3279.26,-5.61331,3.43719,0.414445,-0.344226,0.190762,-0.420378,
3279.26,-5.52121,3.8913,0.442005,-0.358757,0.192808,-0.43278,
3279.27,-5.52121,3.8913,0.442005,-0.358757,0.192808,-0.43278,
3279.27,-5.51925,3.45498,0.405358,-0.345652,0.196667,-0.417212,
3279.28,-5.51925,3.45498,0.405358,-0.345652,0.196667,-0.417212,
3279.28,-4.92775,3.02879,0.478056,-0.336565,0.209128,-0.408584,
3279.29,-4.92775,3.02879,0.478056,-0.336565,0.209128,-0.408584,
3279.29,-5.12698,3.18756,0.498252,-0.340058,0.203754,-0.405638,
3279.3,-5.85633,3.49473,0.477067,-0.349666,0.188569,-0.418033,
3279.31,-5.41183,3.65849,0.438137,-0.349448,0.195884,-0.422143,
3279.31,-5.56775,3.2035,0.365733,-0.340879,0.193388,-0.414651,
3279.32,-5.40181,3.70688,0.403875,-0.354978,0.197517,-0.418577,
3279.32,-4.9622,3.19698,0.486068,-0.341667,0.206393,-0.409604,
3279.33,-5.0839,3.21945,0.57621,-0.347477,0.204007,-0.407027,
3279.34,-5.07321,2.97086,0.443777,-0.336403,0.205731,-0.409892,
3279.34,-5.07321,2.97086,0.443777,-0.336403,0.205731,-0.409892,
3279.35,-5.29522,3.75814,0.493208,-0.354615,0.20081,-0.429733,
3279.35,-5.61211,3.63682,0.448133,-0.352486,0.190845,-0.416545,
3279.36,-5.66382,3.67395,0.449103,-0.352384,0.190595,-0.41796,
3279.36,-5.14484,3.12521,0.423405,-0.338844,0.204987,-0.41322,
3279.37,-5.09818,3.28334,0.598541,-0.345484,0.205677,-0.408154,
3279.38,-5.66488,3.84566,0.394592,-0.354558,0.192589,-0.422826,
3279.38,-5.6615,3.64731,0.463953,-0.351173,0.190943,-0.420052,
3279.39,-5.51798,3.66307,0.497792,-0.348998,0.194489,-0.424636,
3279.39,-5.2012,3.27478,0.456754,-0.344104,0.20077,-0.412099,
3279.4,-5.37922,3.88022,0.596103,-0.355332,0.196805,-0.422099,
3279.4,-5.4758,3.68091,0.507292,-0.356176,0.19649,-0.426568,
3279.41,-5.44165,3.67102,0.442242,-0.354863,0.199355,-0.415926,
3279.42,-5.41443,3.52467,0.533263,-0.349578,0.192891,-0.423422,
3279.42,-5.0553,3.18533,0.567611,-0.34007,0.207076,-0.409316,
3279.43,-4.99273,3.13533,0.636971,-0.339346,0.207561,-0.406149,
3279.43,-5.46832,3.84252,0.528455,-0.355817,0.194748,-0.425079,
3279.43,-5.46832,3.84252,0.528455,-0.355817,0.194748,-0.425079,
3279.44,-5.65968,3.57224,0.509216,-0.351437,0.193778,-0.410799,
3279.44,-5.52573,3.86141,0.61122,-0.3564,0.194157,-0.427235,
3279.45,-5.73351,3.7704,0.534342,-0.35459,0.186778,-0.421558,
3279.46,-5.73351,3.7704,0.534342,-0.35459,0.186778,-0.421558,
3279.46,-5.30923,3.49475,0.615038,-0.348037,0.202326,-0.418867,
3279.47,-5.68409,3.86147,0.539441,-0.354979,0.192708,-0.423936,
3279.47,-5.42893,3.58605,0.41392,-0.349537,0.202085,-0.420103,
3279.48,-5.42893,3.58605,0.41392,-0.349537,0.202085,-0.420103,
3279.48,-5.32777,3.34787,0.560239,-0.345599,0.200447,-0.41707,
3279.49,-5.60366,3.84587,0.465673,-0.355209,0.193576,-0.423192,
3279.5,-5.59146,3.59688,0.393518,-0.351585,0.189079,-0.415291,
3279.5,-5.65564,3.41999,0.494953,-0.346049,0.191721,-0.417062,
3279.51,-5.66739,3.36366,0.371782,-0.344168,0.190872,-0.415941,
3279.51,-4.97698,3.20214,0.365979,-0.34268,0.204082,-0.411578,
3279.52,-5.28935,3.00401,0.647799,-0.337941,0.199365,-0.408239,
3279.52,-5.04007,3.21781,0.4467,-0.341564,0.205719,-0.404746,
3279.53,-5.05844,3.13541,0.434628,-0.339784,0.20427,-0.411494,
3279.53,-5.4202,3.479,0.384812,-0.348136,0.198125,-0.412852,
3279.54,-5.4215,3.67287,0.350945,-0.351852,0.19824,-0.421146,
3279.55,-5.4215,3.67287,0.350945,-0.351852,0.19824,-0.421146,
3279.55,-5.28175,3.20598,0.455369,-0.341305,0.201732,-0.407332,
3279.56,-5.01775,2.9201,0.468473,-0.334323,0.206981,-0.411712,
3279.56,-5.37979,3.86036,0.436073,-0.359375,0.198431,-0.427172,
3279.57,-5.64102,3.27994,0.432411,-0.341498,0.189708,-0.411805,
3279.57,-5.4353,3.71655,0.353843,-0.354363,0.193645,-0.417236,
3279.58,-5.32747,3.40322,0.415399,-0.347306,0.197417,-0.415081,
3279.58,-5.40004,3.82908,0.406999,-0.35488,0.196641,-0.425021,
