time,x,y,z,r,p,y,
3278.99,-0.329203,0.0430941,0.0055176,5.62729e-05,-3.14151,-6.34258e-05,
3279,-0.329216,0.0431095,0.00550698,2.35239e-05,-3.14148,-3.13235e-05,
3279,-0.329175,0.0430655,0.00549162,-6.73323e-05,3.14155,-5.11826e-05,
3279.01,-0.329171,0.0430709,0.00549871,-3.68352e-05,3.14158,8.2352e-06,
3279.02,-0.329179,0.043089,0.00550635,-1.99806e-06,3.14159,-4.85288e-05,
3279.02,-0.32919,0.0430836,0.00549841,1.06539e-05,3.14158,-1.54839e-05,
3279.03,-0.32919,0.0430986,0.00551207,-2.01326e-06,-3.14152,-3.56192e-05,
3279.03,-0.32919,0.0430986,0.00551207,-2.01326e-06,-3.14152,-3.56192e-05,
3279.04,-0.329207,0.0431121,0.00552227,2.77092e-05,-3.14152,-0.000103487,
3279.04,-0.329188,0.0430911,0.00549999,5.32101e-06,-3.14158,-7.81045e-06,
3279.05,-0.329185,0.0430883,0.00549887,-3.35613e-05,-3.14159,-3.50076e-05,
3279.06,-0.329182,0.0431008,0.00550861,-3.21241e-05,-3.14156,-2.81752e-05,
3279.06,-0.329191,0.0430788,0.00550916,1.30309e-05,-3.14158,7.88367e-05,
3279.07,-0.329235,0.0431178,0.00551679,-1.20333e-05,-3.14148,-7.79155e-05,
3279.08,-0.3292,0.0431061,0.00550637,-2.85614e-05,-3.14156,-8.54735e-06,
3279.08,-0.3292,0.0431061,0.00550637,-2.85614e-05,-3.14156,-8.54735e-06,
3279.09,-0.3292,0.0430917,0.00551045,-2.48112e-05,-3.14156,-4.34122e-05,
3279.09,-0.329199,0.0431025,0.00550973,5.60457e-06,-3.14153,-0.000113788,
3279.1,-0.329197,0.0430884,0.00549184,6.74796e-05,-3.14158,2.5913e-05,
3279.1,-0.329184,0.043102,0.00550138,-5.09362e-06,-3.14159,-5.30122e-05,
3279.11,-0.329184,0.043102,0.00550138,-5.09362e-06,-3.14159,-5.30122e-05,
3279.11,-0.329188,0.0430733,0.00549585,0.00018053,-3.14158,5.01756e-05,
3279.12,-0.329212,0.043087,0.00550609,4.37402e-05,-3.1415,-5.47133e-05,
3279.12,-0.329183,0.043083,0.00549327,4.19924e-05,-3.14159,4.76258e-05,
3279.13,-0.329207,0.0430994,0.00551457,9.35723e-05,-3.14154,-6.57326e-05,
3279.14,-0.329177,0.0430843,0.00550603,2.54488e-05,-3.14157,2.54148e-05,
3279.14,-0.329198,0.0431083,0.00550886,-6.64665e-05,-3.14155,-0.000102845,
3279.15,-0.329194,0.0430991,0.00550253,-2.28544e-05,-3.14151,-9.13579e-06,
3279.16,-0.329194,0.0430991,0.00550253,-2.28544e-05,-3.14151,-9.13579e-06,
3279.16,-0.329221,0.0431017,0.00550775,3.90067e-06,-3.14151,-6.59942e-05,
3279.17,-0.329163,0.0430737,0.00548956,4.28428e-05,3.14151,-3.45749e-05,
3279.17,-0.329204,0.043086,0.00550939,1.50938e-05,-3.14153,-4.08549e-05,
3279.18,-0.32919,0.043072,0.00549689,-8.9749e-05,3.14157,-1.35334e-06,
3279.18,-0.3292,0.0431,0.00551864,8.85224e-05,-3.1415,-6.69457e-05,
3279.19,-0.3292,0.0431,0.00551864,8.85224e-05,-3.1415,-6.69457e-05,
3279.2,-0.329189,0.0430795,0.00551515,4.28067e-05,-3.14152,-1.70059e-05,
3279.2,-0.329193,0.0430877,0.00551191,7.40321e-05,-3.14156,-2.12988e-05,
3279.21,-0.329215,0.0430804,0.0055232,0.000145852,-3.14149,-1.18271e-05,
3279.21,-0.329194,0.0430772,0.00549906,0.000107425,-3.14154,-3.47146e-06,
3279.22,-0.329194,0.0430772,0.00549906,0.000107425,-3.14154,-3.47146e-06,
3279.22,-0.329188,0.0430877,0.00549606,6.059e-05,-3.14159,5.63835e-05,
