time,CH1,CH2,CH3,CH4,CH5,CH6,
3278.99,2662.01,2451.66,2011.42,2307.03,2352.88,2498.81,
3279,2664.02,2453.2,2012.86,2308.49,2354.39,2499.88,
3279,2664.24,2453.31,2013.05,2308.54,2354.77,2500.18,
3279.01,2664.01,2453.83,2012.53,2308.64,2354.09,2461.11,
3279.02,2663.57,2453.57,2012.49,2308.12,2353.75,2489.31,
3279.02,2665.96,2453.45,2001.01,2316.47,2345.42,2499.43,
3279.03,2663.47,2452.79,2012.77,2308.19,2353.8,2499.6,
3279.03,2663.54,2453.04,2012.79,2309.09,2353.82,2460.97,
3279.04,2664.37,2453.4,2013.33,2308.78,2354.51,2500.36,
3279.04,2664.05,2453.58,2012.78,2308.53,2354.16,2499.99,
3279.05,2663.71,2453.24,2012.51,2308.19,2353.57,2499.55,
3279.06,2662.69,2452.63,2012.15,2307.54,2353.04,2499.07,
3279.06,2662.8,2447.42,2008.37,2302.96,2346.25,2463.75,
3279.07,2660.74,2451.53,2011.44,2306.84,2352.63,2498.41,
3279.08,2661.79,2451.22,2011.62,2307.27,2352.5,2498.06,
3279.08,2661.73,2451.62,2011.36,2306.96,2352.45,2498.52,
3279.09,2661.62,2451.46,2011.34,2306.65,2352.11,2498.25,
3279.09,2661.7,2451.75,2011.03,2306.81,2351.74,2498.08,
3279.1,2660.86,2450.92,2010.64,2305.9,2351.46,2497.25,
3279.1,2660.68,2450.31,2010.36,2305.71,2351.17,2496.85,
3279.11,2660.07,2449.99,1999.14,2301.7,2351.03,2489.38,
3279.11,2667.81,2441.07,2013.46,2293.91,2362,2497.35,
3279.12,2660.89,2441.9,2017.95,2292.66,2359.64,2496.39,
3279.12,2661.58,2451.08,2010.75,2306.39,2351.77,2498.26,
3279.13,2661.56,2451.65,2011.37,2307.03,2353.39,2499.06,
3279.14,2663.12,2452.09,2012.06,2307.68,2353.13,2498.79,
3279.14,2662.49,2452.17,2011.66,2307.66,2352.87,2498.55,
3279.15,2662.35,2452.11,2011.62,2307.5,2352.82,2498.69,
3279.16,2662.28,2451.33,2011.39,2297.6,2357.22,2499.03,
3279.16,2655.43,2447.03,2011.54,2307.12,2352.62,2498.41,
3279.17,2661.54,2451.64,2011.28,2307.05,2352.24,2498.7,
3279.17,2662.8,2452.33,2011.56,2307.46,2352.75,2499.08,
3279.18,2662.1,2452.24,2011.89,2307.54,2353.32,2499.09,
3279.18,2663.17,2451.97,2012.55,2307.23,2353.11,2498.8,
3279.19,2662.49,2452,2011.36,2307.24,2352.73,2498.52,
3279.2,2662.16,2451.67,2011.24,2307.04,2352.12,2490.81,
3279.2,2662.71,2451.37,1999.14,2314.35,2382.52,2507.56,
3279.21,2662.11,2443.98,2011.11,2306.74,2352.28,2497.89,
3279.21,2661.01,2451,2010.88,2306.73,2352.08,2497.74,
3279.22,2662.39,2452.35,2011.57,2307.4,2352.75,2498.59,
3279.22,2661.93,2451.71,2011.59,2307.64,2352.68,2499.59,
3279.23,2662.49,2452.67,2011.48,2307.76,2352.34,2498.64,
3279.23,2661.9,2451.33,2011.29,2306.88,2352.29,2498.13,
3279.24,2662.16,2451.27,2011.39,2306.46,2351.94,2497.79,
3279.25,2689.95,2451.97,2007.07,2293.45,2358.8,2488.62,
3279.25,2672.81,2451.46,2010.94,2306.62,2351.81,2497.89,
3279.26,2660.83,2450.78,2010.78,2306.39,2351.92,2498.08,
3279.26,2661.65,2451.04,2011.37,2306.99,2352.16,2497.94,
3279.27,2661.07,2451.62,2011.44,2306.98,2352.71,2497.87,
3279.27,2661.78,2451.4,2011.19,2306.61,2352.13,2497.93,
3279.28,2661.32,2451.18,2010.86,2306.38,2351.96,2497.7,
3279.28,2661.11,2450.85,2010.67,2306.02,2351.36,2497.26,
3279.29,2660.29,2450.54,2006.78,2305.78,2351.06,2496.36,
3279.29,2660.13,2450.26,2010.32,2304.96,2350.77,2496.27,
3279.3,2659.79,2449.25,2009.76,2304.71,2350.8,2496.57,
3279.31,2660.02,2449.89,2009.59,2304.9,2350.26,2495.81,
3279.31,2659.15,2449.21,2009.31,2304.8,2350.28,2496.3,
3279.32,2658.96,2449.95,2009.01,2304.61,2349.68,2495.51,
3279.32,2658.96,2448.66,2008.81,2303.93,2349.69,2494.86,
3279.33,2658.27,2448.19,2008.77,2303.9,2349.4,2494.88,
3279.34,2657.5,2448.31,1996.93,2301.88,2349.63,2489.88,
3279.34,2657.19,2447.89,2008.21,2303.38,2348.83,2494.54,
3279.35,2657.97,2447.56,2008.36,2303.24,2348.82,2494.83,
3279.35,2658.04,2447.99,2008.38,2303.56,2348.85,2494.5,
3279.36,2657.5,2447.28,2008.33,2303.72,2349.11,2495.17,
3279.36,2657.93,2448.35,2008.41,2303.68,2348.56,2494.52,
3279.37,2657.88,2447.53,2008.33,2303.18,2348.69,2493.89,
3279.38,2657.09,2447.23,2007.92,2302.72,2348.77,2493.81,
3279.38,2647.51,2459.77,2003.99,2297.56,2377.85,2496.52,
3279.39,2646.94,2452.67,1995.76,2314.05,2349.04,2491.56,
3279.39,2647.22,2450.54,2001.38,2299.27,2361.53,2497.03,
3279.4,2660.4,2451.62,2010.59,2305.56,2351.79,2497.51,
3279.4,2660.26,2450.9,2011.66,2307.5,2352.96,2498.7,
3279.41,2662.68,2452.15,2012.26,2307.54,2353.57,2500.63,
3279.42,2663.98,2453.65,2013.22,2309.21,2354.41,2500.28,
3279.42,2664.32,2453.63,2013.01,2308.93,2354.52,2500.04,
3279.43,2664.05,2453.3,2012.91,2335.24,2354.74,2461.49,
3279.43,2693.92,2453.93,2001.84,2315.23,2354.01,2460.96,
3279.43,2664.39,2453.27,2013.14,2308.79,2355.03,2500.61,
3279.44,2664.13,2453.92,2013.25,2309.5,2354.67,2500.56,
3279.44,2664.05,2454.48,2013.32,2309.5,2354.67,2500.93,
3279.45,2664.34,2454.81,2013.01,2309.12,2354.37,2495.84,
3279.46,2660.38,2450.95,2011.4,2307.01,2352.7,2499.09,
3279.46,2662.71,2452.27,2012.15,2307.71,2353.13,2498.66,
3279.47,2662.02,2452.01,2011.48,2307.21,2352.44,2498.91,
3279.47,2689.73,2454.46,2007.66,2293.25,2361.93,2487.76,
3279.48,2674.6,2451.71,2003.73,2307.62,2352.86,2498.94,
3279.48,2662.46,2451.74,2011.88,2307.41,2352.93,2499.01,
3279.49,2664.12,2453.35,2012.83,2308.52,2354.02,2460.96,
3279.5,2663.6,2453.65,2012.94,2308.6,2350.44,2496.96,
3279.5,2661.36,2451.49,2012.09,2307.79,2353.3,2499.44,
3279.51,2662.69,2452.61,2012.1,2307.78,2353.23,2499.37,
3279.51,2662.54,2451.89,2012,2307.24,2352.69,2498.74,
3279.52,2662.12,2451.88,2011.29,2306.54,2352.37,2498.29,
3279.52,2661.94,2451.06,2011.15,2307.12,2352.26,2497.83,
3279.53,2661.74,2450.99,2011.21,2306.44,2351.99,2497.69,
3279.53,2661.11,2451.14,2010.88,2306.94,2351.55,2497.72,
3279.54,2660.96,2450.79,2010.8,2305.93,2351.41,2497.33,
3279.55,2660.53,2450.35,2010.22,2305.46,2351.06,2496.9,
3279.55,2660.26,2449.91,2009.88,2305.21,2350.28,2496.21,
3279.56,2659.04,2449.62,2009.13,2305.04,2349.97,2495.99,
3279.56,2670.98,2450.16,2002.49,2291.54,2360.04,2485.44,
3279.57,2672.69,2449.82,2002.44,2294.36,2354.41,2498.94,
3279.57,2660.33,2450.37,2010.38,2305.87,2351.22,2497,
3279.58,2662.66,2452.14,2012.24,2307.35,2353.06,2498.61,
3279.58,2662.72,2452.28,2012.08,2307.69,2353.62,2499.31,
3279.59,2662.99,2452.91,2012.14,2307.79,2353.4,2499.75,
3279.6,2663.1,2452.52,2012.18,2307.64,2353.19,2498.77,
3279.6,2662.48,2451.8,2012.04,2307.24,2353.15,2467.68,
3279.61,2691.48,2456.21,2008.18,2295.39,2359.71,2498.84,
3279.61,2662.02,2452.01,2011.44,2307.92,2353.36,2499.11,
3279.62,2662.96,2452.65,2012.02,2307.83,2353.59,2499.05,
3279.62,2663.48,2452.75,2012.93,2308.31,2353.95,2499.54,
3279.63,2663.83,2452.77,2012.44,2308.18,2353.35,2499.28,
3279.64,2662.62,2452.26,2012,2307.45,2353.12,2499,
3279.64,2662.36,2452.13,2011.54,2306.67,2352.45,2497.97,
3279.65,2661.97,2451.18,2011.2,2306.33,2352.27,2533.92,
3279.66,2622.89,2484.49,2007.87,2298.71,2360.8,2487.57,
3279.66,2674.63,2423.59,2010.99,2306.55,2352.43,2498.44,
3279.66,2662.17,2451.55,2011.38,2307.09,2352.66,2498.69,
3279.67,2662.88,2452.59,2012.69,2307.77,2353.7,2498.6,
3279.67,2663.16,2452.19,2012.24,2307.48,2353.21,2499.32,
3279.68,2662.09,2452.13,2011.75,2307.48,2352.69,2498.99,
3279.69,2662.27,2452.26,2011.58,2306.59,2352.61,2498,
3279.69,2661.82,2451.36,2011.38,2306.26,2352.42,2498.19,
3279.7,2661.41,2451.28,2011.01,2306.51,2351.92,2497.85,
3279.7,2660.98,2450.88,2010.92,2306.33,2351.46,2497.15,
3279.71,2660.87,2450.42,2010.41,2305.99,2351.2,2497.06,
3279.71,2661.12,2450.39,2010.3,2305.61,2351.06,2496.84,
3279.72,2660.45,2450.19,2010.32,2305.33,2350.89,2496.59,
3279.73,2660.06,2449.52,2009.52,2304.85,2350.47,2495.75,
3279.73,2659.37,2449.06,2009.32,2304.46,2349.78,2495.38,
3279.74,2659.03,2448.66,2008.95,2303.87,2349.74,2495.67,
3279.75,2658.7,2448.65,2008.88,2303.94,2349.58,2495.24,
3279.75,2658.65,2448.25,2008.94,2304.41,2349.79,2494.8,
3279.76,2658.68,2448.46,2008.76,2303.48,2349.49,2494.86,
3279.76,2658.52,2444.44,2006.11,2301.68,2348.23,2493.76,
3279.77,2657.39,2447.74,2008.49,2303.44,2349.18,2494.82,
3279.77,2657.62,2447.8,2007.91,2303.29,2348.54,2494.16,
3279.78,2657.44,2447.59,2007.84,2302.91,2348.21,2493.98,
3279.79,2656.47,2447.44,2007.61,2302.3,2338.17,2495.66,
3279.79,2657.6,2447.42,2007.48,2302.6,2348.17,2493.67,
3279.79,2656.65,2447.12,2007.63,2302.78,2348.52,2493.77,
3279.8,2656.93,2447.21,2007.43,2302.59,2347.93,2493.54,
3279.85,2617.24,2446.62,2007.52,2301.79,2347.57,2493.03,
3279.85,2656.52,2446.36,2007.34,2301.25,2347.53,2493.48,
3279.86,2656.42,2446.53,2007.26,2302.3,2347.59,2492.91,
3279.87,2617.24,2446.33,2007.19,2302.03,2347.8,2492.56,
3279.87,2617.28,2445.75,2007.12,2301.26,2347.14,2492.08,
3279.88,2655.89,2445.99,2006.97,2301.41,2347.24,2492.29,
3279.88,2655.75,2445.67,2006.82,2301.11,2346.97,2492.93,
3279.89,2656.03,2446.01,2006.69,2301.79,2347.23,2492.53,
3279.97,2661.99,2448.52,1996.58,2312.12,2380.18,2465.11,
3279.97,2670.65,2448.75,2009.76,2333.77,2353.04,2496,
3279.98,2617.26,2456.38,1998.85,2332.29,2352.75,2466.93,
3279.99,2691.64,2451.47,2011.45,2307.17,2353.05,2498.93,
3279.99,2662.92,2452.57,2013.6,2309.8,2354.83,2501.11,
3280,2664.27,2454.6,2013.84,2309.96,2355.05,2501.82,
3280,2665.9,2455.82,2013.85,2310.21,2355.7,2502.18,
3280.01,2665.43,2455.18,2013.8,2310.43,2351.72,2502.77,
3280.01,2666.36,2445.6,2003.09,2279.7,2346.55,2512.08,
3280.02,2665.9,2455.71,2021.38,2306.16,2353.6,2463.02,
3280.02,2693.55,2460.54,2004.23,2307.63,2352.82,2499.8,
3280.03,2664.52,2454.67,2014.56,2311.07,2357,2502.47,
3280.03,2666.98,2457.83,2016.5,2312.72,2358.25,2504.45,
3280.04,2668.42,2457.7,2016.31,2312.74,2358.2,2504.46,
3280.05,2668.58,2457.36,2016.39,2312.08,2357.8,2503.97,
3280.05,2668.1,2457.12,2015.8,2311.95,2357.38,2504.04,
3280.06,2667.02,2456.05,2014.94,2310.98,2356.98,2502.6,
3280.06,2666.58,2455.65,2014.64,2310.42,2356.09,2502.11,
3280.07,2665.4,2454.94,2014.14,2309.89,2355.42,2501.24,
3280.08,2665.01,2453.92,2013.62,2308.89,2354.91,2500.19,
3280.08,2664.43,2453.64,2013.23,2308.69,2353.98,2500.4,
3280.09,2663.62,2453.05,2012.51,2308.28,2353.96,2499.58,
3280.09,2663.16,2452.53,2012.17,2306.91,2352.92,2498.74,
3280.1,2662.44,2451.66,2011.8,2307.21,2352.78,2460.98,
3280.1,2662.64,2447.91,2019.06,2293.33,2361.1,2498.88,
3280.11,2660.8,2451.62,2011.72,2307.04,2353.16,2498.12,
3280.11,2661.84,2451.72,2011.32,2307.16,2352.63,2498.56,
3280.12,2662.51,2452.29,2011.72,2307.35,2352.67,2498.9,
3280.12,2662.55,2452.53,2011.61,2307.51,2352.9,2498.06,
3280.13,2662.12,2451.59,2011.53,2306.27,2352.78,2497.92,
3280.13,2662.17,2451.37,2011.53,2306.73,2352.1,2497.99,
3280.14,2661.48,2451.14,2010.78,2306.51,2351.71,2489.93,
3280.15,2691.02,2459.86,2006.91,2293.47,2359.94,2486.9,
3280.15,2667.07,2450.72,2010.99,2306.79,2352.25,2497.88,
3280.16,2661.97,2451.3,2011.27,2306.57,2352.65,2498.41,
3280.16,2662.52,2452.2,2012.02,2307.36,2352.68,2498.57,
3280.17,2662.08,2452.29,2011.82,2307.41,2352.61,2498.82,
3280.18,2662.32,2452.17,2011.64,2307.32,2352.63,2498.49,
3280.18,2662.11,2451.93,2011.33,2307.12,2352.42,2498.04,
3280.19,2661.38,2451.71,2011.06,2306.64,2352.26,2498.96,
3280.2,2662.09,2443.51,2017.15,2305.61,2351.89,2497.56,
3280.2,2661.47,2451.43,2011.05,2306.97,2352.21,2498.45,
3280.21,2661.28,2451.92,2011.23,2307.14,2352.8,2498.56,
3280.21,2662.77,2452.35,2012.02,2307.8,2353.3,2499.02,
3280.22,2662.2,2452.17,2011.66,2307.31,2352.82,2498.85,
3280.22,2661.85,2451.93,2011.38,2306.96,2352.33,2498.43,
3280.23,2661.74,2451.69,2011.15,2306.73,2352.13,2497.93,
3280.24,2661.27,2451.21,2011.07,2306.23,2351.92,2498.49,
3280.24,2689.92,2421.97,2007.25,2293.67,2360.04,2495.56,
3280.24,2690.06,2460.09,2011.27,2306.9,2352.69,2497.96,
3280.25,2661.87,2451.58,2011.56,2306.97,2352.34,2498.32,
3280.26,2662.58,2452.64,2011.88,2307.96,2353.09,2499.15,
3280.26,2662.94,2452.54,2012.2,2307.84,2353.31,2498.69,
3280.27,2662.89,2452.25,2011.91,2307.46,2353.08,2499.19,
3280.27,2662.54,2452.44,2011.84,2307.56,2352.84,2498.7,
3280.28,2661.9,2451.93,2011.51,2307.04,2352.51,2498.78,
3280.29,2661.74,2451.36,2011.49,2306.79,2352.25,2498.09,
3280.29,2661.32,2450.84,2011.24,2307.11,2352.67,2499.33,
3280.3,2661.83,2451.88,2011.08,2307.32,2351.79,2498.25,
3280.3,2661.23,2451.23,2011.09,2306.55,2352.15,2497.59,
3280.31,2661.11,2451.05,2010.75,2306.23,2351.67,2497.39,
3280.31,2660.51,2450.58,2010.17,2305.99,2350.75,2497.12,
3280.32,2660.18,2450.42,2010.23,2305.49,2351.05,2496.57,
3280.32,2659.97,2449.8,2009.89,2305.16,2350.41,2497.48,
3280.33,2660.97,2447.89,2000.81,2290.97,2357.88,2488.3,
3280.33,2665.33,2449.89,1998.63,2305.71,2351.21,2497.36,
3280.34,2660.9,2450.29,2010.97,2306.01,2351.85,2497.34,
3280.34,2661.72,2451.5,2011.13,2306.77,2352.16,2498.46,
3280.35,2661.67,2451.44,2011.15,2307.36,2352.33,2498.31,
3280.36,2661.79,2451.68,2011,2306.47,2352.16,2498.02,
3280.36,2661.47,2451.34,2011.16,2306.11,2351.93,2497.47,
3280.37,2660.96,2450.51,2010.71,2305.71,2351.39,2507.63,
3280.38,2672.26,2440.97,2011.63,2301.95,2343.61,2507.78,
3280.38,2690.4,2450.87,2011.5,2306.84,2352.88,2498.07,
3280.39,2661.35,2451.77,2011.14,2307.09,2352.22,2498.54,
3280.39,2662.36,2452.39,2011.75,2307.57,2353.19,2498.81,
3280.4,2662.45,2452.24,2011.79,2307.85,2353.12,2498.83,
3280.4,2662.42,2452.18,2011.62,2307.42,2352.75,2498.64,
3280.41,2661.91,2452.04,2011.29,2306.53,2352.47,2497.86,
3280.41,2661.79,2451.56,2011.23,2306.42,2352.18,2504.3,
3280.42,2623.26,2462.52,2007.48,2302.14,2347.49,2498.2,
3280.43,2657.71,2461.09,2011.17,2307.08,2352.84,2498.75,
3280.43,2662.52,2452.09,2012.02,2307.68,2353.52,2499,
3280.43,2663.73,2453.51,2013.06,2308.58,2354.14,2500.37,
3280.44,2663.38,2453.21,2012.53,2308.8,2354.14,2500.23,
3280.45,2663.77,2453.06,2012.82,2308.6,2353.79,2499.81,
3280.45,2663.75,2453.22,2012.37,2308.56,2353.55,2499.62,
3280.46,2663.04,2452.61,2012.36,2307.65,2353.13,2499.57,
3280.47,2662.64,2452.01,2011.91,2307.37,2353.06,2498.57,
3280.47,2662.7,2451.97,2011.92,2307.86,2352.95,2461.02,
3280.48,2662.38,2452.57,2011.67,2307.89,2352.68,2499.35,
3280.48,2662.05,2451.68,2011.49,2307.11,2352.38,2498.24,
3280.49,2661.74,2451.34,2011.21,2306.62,2352.28,2497.85,
3280.5,2661.38,2450.67,2010.69,2306.22,2351.45,2497.75,
3280.5,2660.78,2450.47,2010.55,2305.98,2350.84,2497.1,
3280.51,2659.87,2450.21,2009.83,2305.59,2380.8,2497.63,
3280.51,2673.05,2450.78,1999.74,2313.91,2380.23,2526.65,
3280.51,2665.32,2450.62,1999.4,2292.51,2342.38,2465.42,
3280.52,2662.08,2447.82,2003.35,2270.84,2352.11,2499.56,
3280.53,2662.77,2452.79,2012.46,2308.3,2353.91,2499.92,
3280.53,2663.63,2453.6,2013.76,2309.91,2355.68,2501.57,
3280.54,2665.44,2454.76,2014.11,2310.17,2355.69,2502.13,
