time,FX,FY,FZ,RX,RY,RZ,
11.9151,-0.797587,0.590927,-5.60443,-0.0357222,-0.14318,-0.054753,
11.9223,-0.61741,0.867482,-5.62017,-0.0449483,-0.139922,-0.0491317,
11.9254,-0.681703,0.702456,-5.58454,-0.0388505,-0.139277,-0.0502498,
11.933,-0.689556,0.722392,-5.52818,-0.0395615,-0.138948,-0.0493666,
11.94,-1.02787,0.704816,-5.56781,-0.0378646,-0.14499,-0.0500553,
11.943,-0.639015,0.640924,-5.58907,-0.0371959,-0.139063,-0.0539573,
11.9509,-0.741852,0.657791,-5.6817,-0.0379068,-0.141061,-0.0495777,
11.958,-0.718521,0.671834,-5.6743,-0.0376242,-0.141149,-0.0511081,
11.9611,-0.570739,0.513262,-5.71375,-0.0323798,-0.138981,-0.0549332,
11.9674,-0.643041,0.692578,-5.69615,-0.0403519,-0.137668,-0.0542773,
11.9704,-0.895333,0.610751,-5.57333,-0.037495,-0.146017,-0.0499286,
11.9786,-0.80075,0.615769,-5.6731,-0.0375642,-0.142504,-0.0516416,
11.9848,-0.940592,0.680387,-5.56924,-0.0384378,-0.145857,-0.0526372,
11.9879,-0.765766,0.65009,-5.70166,-0.0367368,-0.141742,-0.0514516,
11.9959,-0.83371,0.830145,-5.74931,-0.0417647,-0.144936,-0.0469451,
12.003,-0.64491,0.546153,-5.59098,-0.0370912,-0.14057,-0.0511553,
12.006,-0.646052,0.656492,-5.4831,-0.0380352,-0.138132,-0.0466758,
12.0131,-0.921858,0.928146,-5.63627,-0.0460826,-0.145247,-0.0533736,
12.0163,-0.684131,0.747457,-5.64471,-0.0405138,-0.137477,-0.0485749,
12.0218,-0.873094,0.938609,-5.48432,-0.0463009,-0.14567,-0.0553609,
12.029,-0.73637,0.626338,-5.69921,-0.0373986,-0.140609,-0.050124,
12.032,-0.806199,0.614673,-5.69044,-0.0361064,-0.144148,-0.0494616,
12.0399,-0.556206,0.754689,-5.56464,-0.0395761,-0.136301,-0.0488947,
12.047,-0.873714,0.917802,-5.57678,-0.045373,-0.145388,-0.0507213,
12.0501,-0.681842,0.608474,-5.64434,-0.0379576,-0.136084,-0.048541,
12.0571,-0.702402,0.753798,-5.6088,-0.0443443,-0.138773,-0.051284,
12.0602,-0.472154,0.664137,-5.68323,-0.0379675,-0.135818,-0.0477046,
12.0668,-0.603413,0.711454,-5.69114,-0.0382274,-0.138491,-0.0510625,
12.074,-0.590969,0.66,-5.72619,-0.0402524,-0.137739,-0.0510388,
12.077,-0.60478,0.438759,-5.52465,-0.0334839,-0.13938,-0.0508805,
12.0849,-0.766825,0.647221,-5.62097,-0.0361587,-0.14128,-0.0502434,
12.092,-0.662017,0.399167,-5.7003,-0.0327807,-0.136039,-0.0506015,
12.0951,-0.699835,0.555425,-5.66184,-0.0365545,-0.141347,-0.0492489,
12.1014,-0.882572,0.616997,-5.6794,-0.0390575,-0.142143,-0.0524115,
12.1044,-0.849179,0.7262,-5.63579,-0.0376934,-0.145286,-0.0472164,
12.1126,-0.720992,0.656837,-5.67967,-0.0380363,-0.140216,-0.0534218,
12.1171,-0.77041,0.608549,-5.64133,-0.0351076,-0.142105,-0.0540688,
12.1202,-0.686575,0.620178,-5.69426,-0.0386806,-0.13778,-0.0517623,
12.1283,-0.739363,0.662498,-5.51982,-0.0375858,-0.139662,-0.0509244,
12.1355,-0.616099,0.720754,-5.53938,-0.0405741,-0.14082,-0.0519954,
12.1386,-0.843642,0.608236,-5.55863,-0.0359993,-0.143354,-0.0515308,
12.1456,-0.629713,0.631284,-5.54355,-0.0381311,-0.136168,-0.0497678,
12.1487,-0.711719,0.809139,-5.56793,-0.0416812,-0.138531,-0.048038,
12.157,-0.518624,0.5914,-5.54231,-0.0367995,-0.134547,-0.0505037,
12.1623,-0.635848,0.645165,-5.65912,-0.0383869,-0.138624,-0.0487837,
12.1654,-0.894686,0.707121,-5.48983,-0.0392845,-0.143865,-0.0509682,
12.1734,-0.813394,0.482995,-5.64661,-0.0315737,-0.142363,-0.0458001,
12.1805,-0.950617,0.602883,-5.5266,-0.037119,-0.146062,-0.0532516,
12.1836,-0.351904,0.527594,-5.59521,-0.0371287,-0.136019,-0.0477687,
12.1909,-0.55854,0.611885,-5.46967,-0.0393972,-0.13751,-0.0520822,
12.199,-0.896933,0.512208,-5.4274,-0.0336535,-0.144792,-0.050888,
12.2022,-0.715458,0.608045,-5.6394,-0.0383613,-0.141227,-0.0515199,
12.2064,-0.630852,0.329066,-5.56342,-0.0296107,-0.141348,-0.0529258,
12.2095,-0.843764,0.605585,-5.69143,-0.0381292,-0.143317,-0.0511123,
12.2174,-0.682267,0.77922,-5.57712,-0.0415044,-0.139901,-0.0508197,
12.2245,-0.893065,0.653812,-5.54038,-0.0384932,-0.147128,-0.0500541,
12.2276,-0.761221,0.773176,-5.60327,-0.0407407,-0.141794,-0.0517433,
12.2346,-0.779966,0.576207,-5.57727,-0.0360246,-0.143072,-0.0538943,
12.2428,-0.616261,0.646003,-5.56446,-0.0383075,-0.14103,-0.0538751,
12.246,-0.808988,0.630133,-5.62032,-0.0371582,-0.143311,-0.0509233,
12.2526,-0.760269,0.732,-5.48956,-0.0422573,-0.143645,-0.0528092,
12.2557,-0.702274,0.522236,-5.47296,-0.0335835,-0.141248,-0.0518255,
12.2638,-1.05462,0.502358,-5.68222,-0.0370827,-0.150219,-0.052996,
12.271,-0.646202,0.627277,-5.50724,-0.0362719,-0.136137,-0.0495843,
12.274,-0.693032,0.635907,-5.53392,-0.037014,-0.13897,-0.0505121,
12.2811,-0.933748,0.692832,-5.47317,-0.0379399,-0.144617,-0.0505327,
12.2892,-0.849616,0.800632,-5.43429,-0.039866,-0.14123,-0.0513629,
12.2923,-0.769616,0.701951,-5.57094,-0.0375753,-0.140676,-0.0501152,
12.2985,-0.530522,0.658265,-5.45183,-0.0370814,-0.135986,-0.0487541,
12.3015,-0.746252,0.74557,-5.65845,-0.0381334,-0.139889,-0.0483212,
12.3094,-1.04059,0.687981,-5.46616,-0.0388087,-0.149011,-0.054114,
12.3165,-0.876146,0.428939,-5.52729,-0.0313224,-0.146235,-0.0542915,
12.3196,-0.69794,0.753304,-5.45966,-0.0433309,-0.14259,-0.0504023,
12.3269,-0.813349,0.773611,-5.53107,-0.0414527,-0.144149,-0.0501587,
12.3341,-0.762601,0.538452,-5.49705,-0.0347391,-0.141683,-0.0504822,
12.3373,-0.769422,0.469885,-5.5315,-0.0313468,-0.141779,-0.0522979,
12.3445,-0.79758,0.796569,-5.4328,-0.0403897,-0.142363,-0.0519462,
