time,x,y,z,r,p,y,
11.9151,-0.329182,0.0430915,0.00548383,2.30057e-05,3.14159,-5.40384e-05,
11.9223,-0.329173,0.0430929,0.00549205,2.28284e-06,3.14155,-2.42174e-05,
11.9254,-0.329182,0.0430879,0.00550892,-4.89777e-05,-3.14157,6.92944e-05,
11.933,-0.329217,0.0431038,0.00551626,0.000132722,-3.14152,-0.000136756,
11.94,-0.329183,0.043089,0.0054911,1.49078e-05,3.14157,4.66987e-06,
11.943,-0.329176,0.0430795,0.00548603,-4.89794e-05,3.14156,1.90556e-05,
11.9509,-0.329182,0.0430725,0.00550183,7.5954e-05,-3.14159,-8.02888e-05,
11.958,-0.329192,0.0430816,0.00549474,-8.95615e-06,3.14157,1.66031e-05,
11.9611,-0.329185,0.0430752,0.00549654,-2.22907e-05,3.14156,-2.69722e-05,
11.9674,-0.329217,0.0430957,0.00551203,6.74951e-05,-3.14151,-5.75181e-05,
11.9704,-0.329178,0.0430983,0.00548693,7.31482e-05,3.14156,2.78696e-05,
11.9786,-0.329193,0.0430731,0.00548531,-9.37996e-05,3.14159,-2.85827e-05,
11.9848,-0.329165,0.0430843,0.00550231,-4.54371e-06,3.14157,2.29367e-06,
11.9879,-0.329194,0.0430972,0.0054829,4.35859e-05,3.14153,-2.02357e-05,
11.9959,-0.329169,0.0430699,0.00548294,-0.00012579,3.14151,-4.99766e-05,
12.003,-0.329186,0.0430861,0.00550109,3.82572e-06,-3.14159,-2.93243e-05,
12.006,-0.329175,0.0430895,0.00549645,6.14777e-05,3.14158,-5.06205e-05,
12.0131,-0.329193,0.0430852,0.00548603,-2.31798e-05,3.14157,-4.93795e-05,
12.0163,-0.329186,0.0430858,0.00550691,0.000119132,-3.14158,-4.38478e-05,
12.0218,-0.329184,0.0431011,0.0054884,-7.92611e-05,-3.14159,5.63042e-05,
12.029,-0.329186,0.0430955,0.00549459,3.0422e-05,-3.14158,-7.90355e-05,
12.032,-0.329202,0.0431026,0.00551845,3.65058e-05,-3.14154,-4.01577e-05,
12.0399,-0.329212,0.0431012,0.00550754,2.3422e-05,-3.14148,2.33457e-06,
12.047,-0.329188,0.043093,0.00548985,-2.08635e-05,-3.14157,6.7519e-05,
12.0501,-0.329187,0.0430936,0.00551787,-7.82552e-06,-3.14159,-2.75676e-05,
12.0571,-0.329201,0.0430987,0.00549956,2.87047e-05,-3.14154,-3.5404e-05,
12.0602,-0.329172,0.0430955,0.00548539,-5.20497e-05,3.14155,3.87276e-05,
12.0668,-0.3292,0.0430967,0.00549811,1.7328e-05,3.14156,6.93649e-05,
12.074,-0.329161,0.0430761,0.00548739,-5.31665e-05,3.14153,-5.41092e-05,
12.077,-0.32917,0.0430731,0.00548586,-4.94441e-05,3.14154,-4.91887e-05,
12.0849,-0.329196,0.0430888,0.00549977,0.000145273,-3.14158,4.33235e-06,
12.092,-0.32917,0.0430767,0.00548392,2.35167e-06,3.14153,-8.89423e-05,
12.0951,-0.329162,0.0430937,0.00550248,9.75063e-06,3.14154,4.32095e-05,
12.1014,-0.329194,0.043073,0.00549292,-0.000104823,3.14159,-2.8964e-05,
12.1044,-0.329196,0.0430985,0.0054925,4.0767e-05,3.14156,-4.52038e-05,
12.1126,-0.329166,0.0430613,0.00547133,-0.000114528,3.14148,-9.83791e-05,
12.1171,-0.329192,0.0430889,0.00549211,7.36941e-05,3.14155,-2.69077e-05,
12.1202,-0.329185,0.0431094,0.0054937,-0.00013835,-3.14158,-5.31331e-06,
12.1283,-0.329198,0.0430773,0.00549607,9.83127e-05,-3.14155,1.54467e-05,
12.1355,-0.329167,0.0430656,0.00549344,-3.68671e-05,3.14157,-3.15573e-05,
12.1386,-0.329182,0.0430735,0.00549018,-3.34035e-07,-3.14159,-2.52231e-05,
12.1456,-0.329179,0.043095,0.00549655,-2.53003e-06,3.14159,5.11733e-05,
12.1487,-0.329227,0.0431113,0.00550007,-8.84982e-06,-3.14152,-6.05403e-05,
12.157,-0.329163,0.0430909,0.00548451,3.51089e-05,3.14153,-4.34653e-05,
12.1623,-0.329168,0.043071,0.00548666,1.64957e-05,3.14153,-5.10652e-05,
12.1654,-0.329173,0.0430856,0.0054947,-8.75955e-05,-3.14159,7.51691e-05,
12.1734,-0.329217,0.0431142,0.00551138,-2.82953e-05,-3.14151,-9.35893e-05,
12.1805,-0.329178,0.04306,0.00548953,-6.24369e-05,3.14159,-3.36381e-05,
12.1836,-0.329211,0.0431012,0.00551221,0.000100492,-3.14152,-9.00443e-05,
12.1909,-0.32918,0.0430822,0.00550151,-1.62457e-05,3.14159,-6.64402e-05,
12.199,-0.329196,0.0430921,0.00550534,-1.6551e-05,-3.14155,2.14316e-05,
12.2022,-0.32919,0.0431082,0.00550012,1.63467e-05,3.14158,8.51744e-05,
12.2064,-0.329178,0.0430872,0.00549109,-3.73405e-05,3.14155,-3.79818e-05,
12.2095,-0.329169,0.0430892,0.0055005,-4.43637e-05,3.14159,1.32416e-05,
12.2174,-0.329187,0.0430934,0.00550236,1.1897e-05,-3.14158,1.96491e-05,
12.2245,-0.329188,0.0431052,0.00549675,1.88717e-05,3.14156,2.0155e-05,
12.2276,-0.329205,0.0430952,0.00550562,8.83165e-05,-3.14156,-3.13808e-05,
12.2346,-0.329194,0.0431053,0.00551318,1.18043e-05,-3.14155,7.67682e-06,
12.2428,-0.329213,0.0431096,0.00550031,-7.3257e-05,-3.14153,-3.02332e-05,
12.246,-0.329204,0.0431061,0.00549883,-6.96649e-05,-3.14156,-7.05156e-06,
12.2526,-0.3292,0.0430809,0.00550237,0.000125876,-3.14156,-1.45425e-05,
12.2557,-0.329191,0.0430881,0.00550141,-1.36243e-05,-3.14158,3.53e-05,
12.2638,-0.329161,0.0430624,0.00548524,9.68164e-06,3.14153,-5.6156e-05,
12.271,-0.329191,0.0430834,0.00549372,4.88262e-05,-3.14158,4.30146e-06,
12.274,-0.329213,0.0431072,0.0054967,-7.33554e-05,-3.14154,5.22059e-06,
12.2811,-0.329196,0.0430719,0.00550085,5.48951e-05,-3.14155,-1.23777e-05,
12.2892,-0.329201,0.0431041,0.00550968,-4.21013e-05,-3.14155,-2.64006e-06,
12.2923,-0.329195,0.0430989,0.00551079,-4.63055e-06,-3.14157,-4.25454e-05,
12.2985,-0.329204,0.0430901,0.00550825,1.63413e-05,-3.14155,3.12084e-06,
12.3015,-0.329169,0.0430745,0.00546341,-6.31576e-05,3.14149,-5.20839e-05,
12.3094,-0.329172,0.0430769,0.005487,-4.87266e-05,3.14154,-3.52052e-05,
12.3165,-0.329192,0.04309,0.00549598,5.63937e-05,-3.14157,-2.07463e-05,
12.3196,-0.329199,0.043108,0.0055145,-5.89308e-05,-3.14153,-0.000109307,
12.3269,-0.329188,0.043087,0.00548589,3.06037e-05,3.14156,-5.60948e-06,
12.3341,-0.329183,0.0430763,0.00549944,2.49233e-05,-3.14154,5.18661e-05,
12.3373,-0.32918,0.0430714,0.00548152,-8.85677e-05,3.14153,1.9953e-05,
12.3445,-0.329172,0.0430725,0.00548998,1.65277e-05,3.14154,-3.16427e-05,
12.3475,-0.329194,0.0431147,0.0055021,-1.75341e-06,-3.14152,-6.78849e-05,
12.3545,-0.329192,0.0430932,0.00550202,5.65325e-05,-3.14155,-6.74265e-05,
12.3624,-0.329191,0.0430937,0.00549834,-3.2068e-05,3.14155,4.6248e-05,
12.3655,-0.329156,0.0430844,0.00548374,-3.30979e-05,3.14153,-6.07295e-05,
12.3716,-0.329164,0.0430729,0.00550262,-1.52637e-05,3.14158,5.88659e-05,
12.3747,-0.329191,0.0430962,0.00549823,-8.09769e-05,-3.14158,4.78551e-05,
12.3821,-0.329174,0.043086,0.00549574,9.36295e-05,3.14157,-2.22003e-05,
12.3874,-0.329175,0.0430899,0.00549552,-5.63196e-05,3.14158,-3.27036e-06,
12.3905,-0.329171,0.0430796,0.00548691,-2.85809e-05,3.14155,-2.43442e-05,
12.3984,-0.329178,0.0430835,0.00549117,-1.11793e-05,3.14156,-4.24836e-05,
12.4055,-0.329178,0.0430684,0.00548391,-6.06233e-05,3.14156,-0.000101251,
12.4086,-0.329205,0.0430744,0.00550179,0.000109537,-3.14152,1.80144e-05,
12.4149,-0.329211,0.0431026,0.00550203,-6.12674e-05,-3.14153,-4.26946e-05,
12.4229,-0.329179,0.0430958,0.00550202,-3.01059e-05,3.14159,5.21781e-05,
12.4262,-0.329184,0.0430757,0.00549442,3.52283e-05,-3.14159,5.03348e-05,
12.4344,-0.329207,0.0431095,0.00550941,6.09599e-05,-3.14152,-0.000109838,
12.4374,-0.329194,0.0430617,0.00548439,-8.00574e-05,3.14157,-7.97174e-05,
12.4445,-0.329176,0.0430669,0.00548928,3.14222e-06,3.14156,-9.06332e-05,
12.4524,-0.329186,0.0430971,0.00548786,-3.07249e-05,3.14156,-1.52512e-05,
12.4555,-0.32919,0.0430826,0.00549099,-5.51737e-05,3.14156,-6.52055e-05,
12.4616,-0.32918,0.043083,0.00550576,8.01064e-05,-3.14158,1.05961e-05,
12.4647,-0.32918,0.0430799,0.00548024,-0.000126917,3.14157,-2.86102e-05,
12.4719,-0.329196,0.0431039,0.0055043,1.66793e-05,-3.14158,-0.000105867,
12.479,-0.32918,0.0430703,0.00548881,-0.000125918,3.14156,-2.02248e-05,
12.482,-0.329184,0.0430942,0.00550103,-3.42263e-05,3.14158,-4.08529e-05,
12.4899,-0.329188,0.043087,0.00548708,-3.90384e-06,3.14156,1.94097e-05,
12.497,-0.329199,0.0430891,0.00551515,8.08889e-05,-3.14153,-4.42263e-05,
12.5001,-0.329177,0.0430815,0.00549533,-7.70528e-05,3.14156,-3.59279e-05,
12.5072,-0.329186,0.0430874,0.00549422,1.43917e-05,3.14158,-5.7174e-05,
12.5103,-0.329178,0.0430894,0.0054976,-1.63359e-05,-3.14157,3.79352e-05,
12.5166,-0.329174,0.0430768,0.00549074,-7.5147e-05,3.14158,-7.59108e-06,
