time,CH1,CH2,CH3,CH4,CH5,CH6,
11.9151,2241.33,1956.13,2102.73,1509.27,2197.04,1803.45,
11.9223,2240.23,1955.58,2101.94,1511.76,2199.38,1805.06,
11.9254,2241.7,1956.45,2102.01,1512.94,2199.78,1805.05,
11.933,2240.96,1956.21,2103.01,1512.6,2200.01,1805.04,
11.94,2241.36,1956.47,2102.78,1512.17,2199.87,1804.79,
11.943,2241.44,1956.39,2103.1,1512.26,2199.96,1804.93,
11.9509,2241.42,1956.25,2102.87,1512.1,2199.58,1805.17,
11.958,2241.59,1956.28,2103.06,1512.16,2199.71,1805,
11.9611,2241.19,1955.97,2102.91,1509.44,2197.3,1803.73,
11.9674,2240.01,1955.63,2102.21,1511.92,2199.69,1804.67,
11.9704,2242,1956.39,2103.02,1511.28,2200.42,1805.04,
11.9786,2241.64,1956.04,2103.14,1512.21,2199.93,1805.02,
11.9848,2241.77,1956.46,2102.91,1512.3,2199.82,1804.93,
11.9879,2241.22,1956.41,2103.01,1512.29,2200.02,1805.05,
11.9959,2241.62,1956.14,2102.76,1512.22,2199.58,1805.21,
12.003,2241.57,1956.45,2102.82,1512.36,2199.72,1804.99,
12.006,2241.18,1955.95,2102.72,1512.41,2199.85,1805.09,
12.0131,2241.19,1956.05,2103.05,1512.02,2199.78,1804.84,
12.0163,2241.35,1956.31,2101.84,1512.17,2199.69,1805.69,
12.0218,2241.45,1956.18,2101.55,1512.43,2199.91,1805.18,
12.029,2241.64,1956.1,2102.95,1512.37,2199.6,1805.05,
12.032,2241.7,1956.45,2103.03,1512.32,2199.97,1804.98,
12.0399,2241.53,1956.35,2102.95,1512.22,2199.65,1805.52,
12.047,2241.55,1956.55,2102.85,1512.19,2199.68,1805.15,
12.0501,2241.39,1956.28,2102.94,1512.4,2200.07,1805.08,
12.0571,2241.39,1956.07,2102.86,1512.27,2199.52,1805.18,
12.0602,2241.4,1956.2,2102.04,1512.21,2199.47,1805.68,
12.0668,2241.57,1956.31,2101.36,1512.32,2199.92,1804.89,
12.074,2241.48,1955.96,2102.67,1512.15,2199.59,1804.94,
12.077,2241.58,1956.69,2103.11,1512.52,2199.79,1805.25,
12.0849,2241.73,1956.16,2102.77,1512.17,2199.72,1804.96,
12.092,2241.52,1956.2,2103.02,1512.35,2199.85,1804.85,
12.0951,2241.41,1956.03,2102.83,1509.62,2197.11,1803.61,
12.1014,2240,1955.28,2102.43,1512.1,2199.25,1804.72,
12.1044,2240.81,1956.01,2103.07,1511.66,2199.72,1805.58,
12.1126,2241.44,1956.86,2101.92,1511.45,2199.98,1805.06,
12.1171,2241.52,1956.03,2102.94,1512,2199.71,1804.88,
12.1202,2241.48,1956.37,2102.94,1512.16,2199.83,1804.84,
12.1283,2241.74,1956.22,2102.64,1512.27,2200.17,1805.17,
12.1355,2241.75,1956.43,2102.89,1512.27,2199.77,1805,
12.1386,2241.37,1956.09,2103.24,1512.25,2199.85,1804.88,
12.1456,2241.33,1956.05,2102.82,1512.23,2200,1804.85,
12.1487,2242.45,1955.97,2103.16,1511.59,2199.56,1805.47,
12.157,2241.11,1957.07,2101.91,1512.56,2200,1804.95,
12.1623,2241.5,1956.34,2102.83,1512.24,2199.78,1804.95,
12.1654,2241.71,1956.27,2103.08,1512.35,2199.72,1804.89,
12.1734,2241.38,1955.91,2102.95,1512.27,2200.02,1805.04,
12.1805,2241.54,1956.11,2103.04,1512.18,2199.89,1804.87,
12.1836,2241.15,1956.13,2099.27,1510.44,2197.89,1804.17,
12.1909,2240.21,1955.49,2102.35,1512.08,2199.46,1805.27,
12.199,2241.7,1955.63,2103.24,1511.94,2200.09,1805.23,
12.2022,2240.85,1956.99,2102.82,1512.15,2199.68,1804.97,
12.2064,2241.46,1956.07,2102.9,1512.28,2199.64,1805.08,
12.2095,2241.64,1956.3,2102.98,1512.03,2199.76,1805.02,
12.2174,2241.27,1956.15,2102.78,1512.15,2200.04,1805.1,
12.2245,2241.74,1956.03,2102.97,1512.33,2199.8,1804.68,
12.2276,2241.21,1956,2103.06,1512.36,2199.77,1805.18,
12.2346,2241.68,1956.42,2102.9,1512.23,2199.79,1804.66,
12.2428,2242.09,1956.43,2101.88,1512.59,2199.59,1805.31,
12.246,2241.59,1955.99,2103.34,1512.41,2199.63,1805.09,
12.2526,2241.44,1956.09,2102.92,1511.88,2199.85,1804.9,
12.2557,2241.77,1956.43,2103.03,1512.35,2199.96,1805.03,
12.2638,2241.49,1955.9,2102.9,1512.44,2200,1805.17,
12.271,2241.72,1956.2,2103.07,1512.27,2199.85,1804.85,
12.274,2241.41,1956.77,2103.06,1512.36,2200.12,1805.07,
12.2811,2241.44,1955.95,2102.79,1512.19,2199.63,1805.17,
12.2892,2241.95,1956.2,2102.94,1512.42,2200.15,1805.04,
12.2923,2241.22,1956.19,2102.85,1512.59,2199.91,1805.07,
12.2985,2241.32,1956.3,2102.93,1512.18,2200.08,1804.9,
12.3015,2241.9,1956.29,2103.07,1512.26,2199.84,1804.97,
12.3094,2241.64,1956.2,2102.88,1512.44,2200.28,1805.11,
12.3165,2241.64,1956.25,2103.1,1512.28,2199.96,1804.88,
12.3196,2241.47,1956.04,2099.12,1510.31,2198.12,1804,
12.3269,2240.7,1955.46,2102.45,1512.14,2199.53,1805.79,
12.3341,2241.73,1956.42,2102.79,1511.49,2200.64,1804.98,
12.3373,2241.57,1956.06,2103.05,1512.35,2199.97,1805.22,
12.3445,2241.44,1956.02,2102.87,1511.95,2199.66,1804.82,
12.3475,2241.64,1956.48,2102.89,1512.28,2199.69,1804.97,
12.3545,2241.4,1955.88,2102.88,1512.14,2200.17,1805.25,
12.3624,2241.53,1956.22,2103.09,1512.19,2199.58,1804.87,
12.3655,2241.1,1956.17,2103.18,1512.22,2200.03,1805.13,
12.3716,2241.4,1956.17,2102.95,1512.3,2199.74,1804.98,
12.3747,2241.44,1956.55,2101.56,1512.72,2199.9,1804.71,
12.3821,2241.43,1956.33,2102.95,1509.82,2197.45,1803.39,
12.3874,2240.41,1955.47,2102.49,1511.98,2199.39,1804.93,
12.3905,2241.71,1956.32,2103.27,1512.21,2199.81,1805.08,
12.3984,2241.42,1956.47,2102.93,1512.24,2200.16,1804.97,
12.4055,2241.79,1956.19,2102.94,1512.21,2200.04,1805.06,
12.4086,2241.76,1956.05,2099.41,1510.51,2197.87,1803.76,
12.4149,2240.53,1955.5,2102.53,1512.01,2199.51,1805.77,
12.4229,2241.49,1956.5,2101.78,1511.08,2200.39,1804.38,
12.4262,2240.8,1956.45,2101.99,1512.38,2199.81,1804.93,
12.4344,2241.65,1955.89,2103.11,1512.02,2199.72,1805.21,
12.4374,2241.57,1956.39,2103.21,1512.2,2199.74,1804.89,
12.4445,2241.3,1956.42,2103.02,1512.29,2200.03,1805.02,
12.4524,2241.31,1956.12,2102.93,1512.04,2199.9,1804.66,
12.4555,2241.32,1955.9,2103.04,1512.39,2199.8,1805.04,
12.4616,2241.28,1956.19,2102.62,1512.24,2199.41,1804.72,
12.4647,2241.68,1956.65,2103.62,1512.04,2199.82,1805.26,
12.4719,2241.32,1956.17,2102.71,1512.3,2199.92,1804.83,
12.479,2241.54,1956.1,2102.93,1512.11,2199.85,1804.89,
12.482,2241.37,1956.45,2102.83,1512.15,2200.07,1805.04,
12.4899,2241.63,1955.84,2102.92,1512.25,2199.83,1805.28,
12.497,2241.62,1956.47,2102.92,1512.16,2199.9,1804.92,
12.5001,2241.4,1955.87,2102.92,1512.21,2199.84,1805.15,
12.5072,2241.42,1956.06,2103.04,1512.27,2199.91,1804.93,
12.5103,2241.25,1956.15,2101.2,1512.32,2199.51,1805,
12.5166,2241.36,1955.49,2103.3,1511.13,2199.98,1805.45,
12.525,2241.63,1957.31,2103.24,1511.5,2199.88,1805.18,
12.5282,2241.3,1956.39,2102.15,1511.21,2200.67,1804.85,
12.5328,2241.37,1956.1,2102.86,1512.18,2199.98,1805.09,
12.54,2241.47,1956.26,2102.85,1512.43,2199.83,1804.92,
12.5431,2240.93,1956.3,2103.05,1512.28,2199.76,1804.87,
12.5502,2241.34,1956.04,2102.92,1512.15,2199.87,1805.21,
12.5583,2241.67,1956.18,2102.99,1512.01,2199.94,1804.69,
12.5614,2241.29,1956.43,2102.77,1512.33,2199.75,1804.98,
12.5657,2241.4,1955.96,2103.02,1512.28,2199.75,1805.27,
12.5739,2241.66,1956.28,2102.93,1512.15,2199.58,1805.04,
12.5769,2241.39,1956.29,2103.09,1512.52,2199.9,1804.99,
12.584,2241.7,1956.17,2102.89,1512.33,2199.58,1804.78,
12.5871,2241.33,1956.62,2103.24,1512.29,2199.62,1805.05,
12.5942,2241.39,1956.21,2102.79,1512.01,2199.44,1805.29,
12.6023,2242.15,1956.27,2101.87,1511.58,2199.89,1804.53,
12.6055,2242.11,1956.32,2101.95,1511.07,2200.43,1805.17,
12.6089,2241.18,1956.3,2102.19,1511.78,2199.63,1805.25,
12.6162,2241.72,1956.58,2103,1512.21,2199.83,1804.84,
12.6193,2241.37,1956.41,2102.83,1512.2,2199.69,1804.98,
12.6265,2241.4,1956.13,2103.02,1512.21,2199.92,1805.1,
12.6296,2241.57,1956.42,2103.02,1512.31,2199.78,1805.03,
12.6367,2241.41,1956.12,2103.21,1512.02,2199.92,1804.93,
12.6448,2241.78,1955.98,2102.91,1512.27,2200.09,1805.69,
12.6479,2240.92,1955.95,2103.37,1512.31,2199.96,1805.2,
12.6553,2241.69,1956.19,2103.14,1512.21,2200.03,1805.16,
12.6625,2241.59,1956.43,2102.84,1512.29,2199.74,1804.75,
12.6655,2241.66,1956.06,2103.42,1512.3,2199.73,1804.97,
12.6734,2241.4,1956.41,2102.8,1512.16,2199.95,1804.84,
12.6765,2241.81,1956.18,2102.95,1512.32,2199.82,1805.11,
12.6826,2241.39,1956.11,2103.02,1512.4,2200.09,1804.96,
12.6907,2241.53,1956.19,2102.85,1512.21,2200.12,1804.94,
12.6939,2241.17,1956.24,2103.03,1512.43,2200,1804.95,
12.6982,2241.59,1956.08,2103.01,1512.3,2199.93,1805.2,
12.7063,2242.1,1956.35,2103,1512.18,2199.61,1804.84,
12.7094,2241.66,1956.47,2103.16,1512.44,2199.95,1805.07,
12.7165,2241.71,1956.29,2103.02,1512.27,2199.87,1805.17,
12.7196,2241.72,1956.58,2103.18,1512.44,2199.61,1805.22,
12.7256,2241.09,1956.46,2103,1512.09,2200.02,1804.91,
12.7338,2241.62,1956.44,2102.92,1512.33,2199.98,1805.07,
12.7369,2241.48,1956.52,2102.04,1511.35,2200.74,1804.47,
12.7412,2241.95,1956.04,2101.88,1511.88,2200.07,1805.83,
12.7458,2241.78,1956.16,2101.42,1512.05,2200.43,1804.96,
12.749,2241.59,1956.35,2103.06,1512.19,2199.88,1805,
12.756,2241.63,1956.34,2102.82,1512.37,2199.94,1804.96,
12.7631,2241.85,1956.41,2102.85,1512.26,2199.77,1805.14,
12.7662,2241.46,1956.35,2103.06,1512.47,2199.88,1805.03,
12.7743,2241.39,1956.39,2103.16,1512.23,2199.64,1804.84,
12.7774,2241.67,1956.61,2101.36,1512.44,2199.49,1805.07,
12.7846,2241.71,1955.77,2103.69,1512.36,2199.9,1805.2,
12.7902,2241.52,1956.2,2102.82,1512.44,2199.82,1805.02,
12.7933,2241.43,1956.45,2103.22,1512.18,2199.74,1805.21,
12.8014,2241.79,1955.99,2103.06,1512.22,2199.9,1805.21,
12.8076,2241.43,1956.14,2102.94,1512.15,2199.87,1804.85,
12.8107,2241.6,1956.03,2103.07,1512.37,2199.86,1805.06,
12.8188,2241.44,1956.23,2102.81,1512.13,2199.72,1805.14,
12.826,2241.65,1956.41,2103.2,1511.2,2200.41,1804.93,
