time,CH1,CH2,CH3,CH4,CH5,CH6,
3.17259,2237.65,1952.51,2102.47,1507.32,2198.73,1766.33,
3.1787,2237.7,1952.39,2101.94,1507.36,2198.39,1766.34,
3.18684,2238.23,1952.48,2102.34,1507.18,2198.42,1766.2,
3.18994,2237.76,1952.35,2101.9,1507.37,2198.51,1766.09,
3.19706,2237.89,1952.06,2102.11,1507.33,2198.47,1766.22,
3.20008,2237.88,1952.63,2102.2,1507.2,2198.46,1766.24,
3.20796,2237.71,1952.41,2102.23,1507.32,2198.53,1766.44,
3.21503,2238.23,1952.34,2102.01,1506.9,2198.78,1766.85,
3.2182,2237.98,1952.33,2101.51,1507.3,2198.34,1766.08,
3.22469,2237.88,1952.72,2102.07,1507.3,2198.38,1766.25,
3.22779,2237.98,1952.56,2102,1507.25,2198.27,1766.18,
3.23495,2237.99,1952.18,2102.19,1507.43,2198.92,1766.27,
3.24295,2237.81,1952.29,2102.12,1507.16,2198.61,1766.42,
3.24598,2237.71,1952.64,2102.07,1507.34,2198.59,1766.18,
3.25305,2238.04,1952.47,2102.19,1507.32,2198.43,1766.47,
3.26096,2238.14,1952.34,2102.06,1506.51,2198.44,1766.37,
3.26423,2237.96,1952,2102.33,1506.69,2198.64,1766.88,
3.26885,2237.6,1952.74,2100.83,1506.38,2198.22,1766.37,
3.27328,2238.15,1952.21,2100.7,1507.36,2198.04,1766.68,
3.27657,2238.23,1952.25,2102.24,1507.32,2198.77,1766.32,
3.28203,2238,1952.28,2101.84,1507.34,2198.46,1766.49,
3.28995,2238.09,1952.33,2102.13,1507.24,2198.55,1766.22,
3.29298,2237.93,1952.13,2101.8,1507.37,2198.52,1766.29,
3.30005,2237.77,1952.5,2101.98,1507.23,2198.57,1766.32,
3.30311,2237.95,1952.41,2101.97,1507.16,2198.64,1766.16,
3.31099,2237.85,1952.3,2101.94,1507.17,2198.44,1766.46,
3.31806,2238.03,1952.47,2101.9,1507.37,2198.56,1766.26,
3.32108,2237.95,1952.13,2102.14,1507.31,2198.55,1766.31,
3.32896,2237.89,1952.46,2101.81,1507.16,2198.6,1765.97,
3.33199,2237.68,1952.55,2102.13,1507.11,2198.3,1766.24,
3.33904,2237.8,1952.29,2101.9,1507.52,2198.39,1766.46,
3.34695,2238.16,1951.95,2102.13,1507.19,2198.48,1766.17,
3.44,2237.81,1952.41,2102.02,1506.46,2199.4,1766.21,
3.44309,2237.64,1952.51,2102.18,1507.23,2198.58,1766.09,
3.44704,2237.59,1952.38,2101.97,1507.07,2198.6,1766.3,
3.45495,2237.97,1952.38,2101.93,1507.41,2198.19,1766.2,
3.45799,2238.13,1952.1,2101.92,1507.27,2198.59,1765.83,
3.46505,2237.84,1952.34,2101.77,1507.27,2198.56,1766.25,
3.46808,2237.8,1952.61,2102.08,1507.38,2198.4,1766.49,
3.47595,2237.8,1952.24,2102.02,1507.03,2198.34,1766.36,
3.49291,2238.03,1952.24,2102.6,1506.32,2199.06,1766.07,
3.49612,2237.88,1952.41,2102.44,1506.71,2198.7,1766.31,
3.50385,2238.09,1951.7,2100.9,1506.57,2198.23,1767.07,
