time,FX,FY,FZ,RX,RY,RZ,
5.16654,-2.48842,1.1659,-3.38483,-0.394388,0.407194,-0.0211905,
5.1736,-2.40861,1.38675,-3.40519,-0.402533,0.405147,-0.0161418,
5.17669,-2.62046,1.4303,-3.51013,-0.403037,0.403395,-0.0242893,
5.18483,-2.47102,1.45873,-3.52233,-0.404293,0.405666,-0.0191655,
5.19202,-2.65093,1.37319,-3.43498,-0.402794,0.403718,-0.0191541,
5.19505,-2.35938,1.4201,-3.43409,-0.403581,0.408575,-0.0234092,
5.20133,-2.69197,1.50876,-3.45418,-0.406258,0.399617,-0.019229,
5.2045,-2.52793,1.4908,-3.38306,-0.404319,0.405055,-0.0199604,
5.21156,-2.54795,1.27314,-3.43918,-0.396771,0.402822,-0.0195126,
5.21862,-2.2676,1.29567,-3.44741,-0.399402,0.412038,-0.0201421,
5.22173,-2.42458,1.20271,-3.43295,-0.396115,0.407423,-0.0201742,
5.22983,-2.57503,1.37103,-3.47739,-0.399874,0.405357,-0.0194556,
5.237,-2.41677,1.2751,-3.51533,-0.39681,0.407571,-0.0199344,
5.24003,-2.49036,1.41427,-3.47691,-0.401382,0.404985,-0.0205546,
5.24803,-2.72089,1.41294,-3.52073,-0.401262,0.399028,-0.0232676,
5.25118,-2.51196,1.35119,-3.52813,-0.400684,0.406456,-0.0185706,
5.2564,-2.38096,1.45099,-3.47906,-0.404746,0.406,-0.0206978,
5.2636,-2.38292,1.31384,-3.57272,-0.401917,0.408059,-0.0194718,
5.2667,-2.47708,1.44194,-3.51521,-0.403908,0.408254,-0.021755,
5.27483,-2.63418,1.40544,-3.5308,-0.401129,0.40361,-0.0201278,
5.28202,-2.37096,1.34428,-3.39473,-0.39706,0.409937,-0.0236559,
5.28505,-2.39651,1.31908,-3.44979,-0.398202,0.408054,-0.017378,
5.29102,-2.67051,1.35804,-3.54875,-0.39875,0.404162,-0.0186345,
5.29406,-2.4459,1.31574,-3.51982,-0.400362,0.407823,-0.0191388,
5.30197,-2.48751,1.46733,-3.45029,-0.40184,0.405992,-0.0194182,
