time,x,y,z,r,p,y,
5.16654,-0.32918,0.0430666,0.0054986,-2.82031e-06,3.14157,-4.83844e-05,
5.1736,-0.329165,0.0430814,0.00549871,9.78849e-06,3.14154,3.08013e-06,
5.17669,-0.329163,0.0430563,0.00548952,-0.000153328,3.14154,-0.000137914,
5.18483,-0.329178,0.0430792,0.0055002,8.23653e-05,-3.14159,4.84768e-05,
5.19202,-0.329183,0.0430689,0.00549697,-0.000179027,3.14158,-1.6017e-05,
5.19505,-0.32918,0.0430962,0.00549589,-2.98345e-05,3.14154,1.63517e-05,
5.20133,-0.329181,0.0430957,0.00549877,3.36663e-05,3.14156,5.91647e-05,
5.2045,-0.329171,0.0431002,0.00550258,0.000100194,3.14159,4.4365e-05,
5.21156,-0.329191,0.043097,0.00549684,1.3627e-05,3.14159,-4.10746e-05,
5.21862,-0.32919,0.0430929,0.00549081,8.89189e-05,-3.14158,-8.26345e-05,
5.22173,-0.329164,0.0430724,0.00550253,-2.22157e-05,3.14153,-1.95433e-05,
5.22983,-0.329175,0.0430744,0.0055014,-4.05315e-05,3.14156,6.4699e-05,
5.237,-0.329199,0.0430751,0.00551465,9.95319e-05,-3.14153,-7.57858e-06,
5.24003,-0.329187,0.0430906,0.00550949,-2.91697e-05,-3.14157,-4.61642e-05,
5.24803,-0.329168,0.0430695,0.00549353,-6.74403e-05,3.14157,-5.974e-05,
5.25118,-0.32919,0.0430823,0.00549846,8.17576e-05,-3.14159,-2.97031e-05,
5.2564,-0.329189,0.0430859,0.00549879,-4.16482e-06,3.14157,-5.00364e-05,
5.2636,-0.329204,0.0430879,0.00551275,2.24757e-05,-3.14153,-3.88788e-05,
5.2667,-0.329189,0.0430839,0.00549516,-3.54046e-05,-3.14159,9.40403e-05,
5.27483,-0.329197,0.0430809,0.00550245,9.80784e-05,-3.14157,4.41935e-06,
5.28202,-0.329193,0.0431036,0.00549391,3.15461e-05,-3.14157,3.03343e-05,
5.28505,-0.329191,0.0430866,0.0055074,2.83271e-05,-3.14156,2.21883e-05,
5.29102,-0.329172,0.0430793,0.00548571,-5.6173e-05,3.14155,-7.4433e-05,
5.29406,-0.329203,0.0430882,0.00550972,0.000118396,-3.14156,-8.36725e-05,
5.30197,-0.32918,0.0430867,0.00549335,2.1858e-05,-3.14159,3.10621e-05,
5.30811,-0.329158,0.0430683,0.00549179,-5.63249e-05,3.14156,-5.75493e-05,
5.31122,-0.329189,0.0430858,0.00550063,-2.40097e-05,-3.14159,9.24285e-07,
5.31933,-0.329175,0.0430746,0.0055058,-4.18787e-05,3.14158,8.76768e-06,
5.32243,-0.329176,0.043084,0.00550348,-9.64819e-06,3.14159,-2.09675e-05,
5.3295,-0.329175,0.0430668,0.00549244,-8.06342e-05,3.14153,-5.9382e-05,
5.3356,-0.329183,0.0430718,0.00550162,-0.000132515,3.14159,-5.50613e-06,
5.33893,-0.329163,0.0430664,0.00549265,-5.50341e-05,3.1415,-8.22883e-05,
5.34345,-0.329183,0.0430762,0.00549716,-0.00013257,3.14158,-1.2482e-05,
5.34888,-0.329173,0.0430997,0.00549067,5.24077e-05,3.14157,-5.72559e-05,
5.35193,-0.329203,0.0430896,0.00549157,-9.20189e-06,3.14158,8.45966e-05,
5.35725,-0.329189,0.0430827,0.00550481,-0.000134502,3.14158,-2.77441e-05,
5.36444,-0.329189,0.0430944,0.00549098,3.61155e-05,-3.14158,1.77905e-05,
5.36749,-0.32916,0.0430673,0.00547009,-6.98781e-05,3.14151,-8.74858e-05,
5.37544,-0.329171,0.0430712,0.00548603,-0.000152199,3.14154,-1.88417e-05,
5.3785,-0.329182,0.0430862,0.00552259,-2.10089e-05,-3.14156,-8.32765e-05,
5.38648,-0.329182,0.0430934,0.00549073,-8.93902e-06,3.14153,2.77974e-05,
5.39262,-0.329169,0.0430857,0.00548476,-6.33445e-05,3.14156,3.32941e-05,
5.39573,-0.329177,0.0430692,0.00550722,-0.000125613,3.14159,-3.67781e-05,
5.40292,-0.329181,0.0430656,0.00549977,-1.12369e-05,-3.14159,2.67196e-05,
5.41092,-0.329165,0.0430794,0.00548597,-3.05778e-06,3.14155,-7.49106e-05,
5.41395,-0.329195,0.0430916,0.00550643,4.23324e-05,-3.14153,-8.66525e-05,
5.42101,-0.329184,0.0430762,0.00550563,2.73095e-05,-3.14156,-7.06417e-05,
5.42418,-0.329213,0.0430958,0.00550879,6.83857e-05,-3.1415,-5.95315e-05,
5.43159,-0.329163,0.0430632,0.00549309,-0.00013711,3.14153,2.89853e-06,
5.4389,-0.329186,0.0430873,0.00550786,7.43437e-05,-3.14156,-5.90515e-05,
5.44193,-0.329177,0.0430856,0.0055047,-1.10052e-05,3.14157,-8.38291e-06,
5.44992,-0.329184,0.0430862,0.00548498,-4.42975e-06,3.14158,-0.000103928,
5.457,-0.32918,0.0430895,0.00549613,4.64547e-05,3.14156,1.62025e-05,
5.46002,-0.329171,0.0430646,0.00548972,-7.48317e-05,3.14155,-6.50555e-05,
5.46793,-0.329181,0.0430907,0.00549693,1.64227e-05,3.14157,3.43293e-05,
5.47119,-0.329172,0.0430794,0.00548608,-2.39255e-05,3.14153,-4.45009e-05,
5.47765,-0.32919,0.0430925,0.00550155,0.000100712,-3.14156,-6.90299e-05,
5.48396,-0.329165,0.043075,0.00550187,-7.87707e-05,3.14156,4.24692e-05,
5.487,-0.329189,0.043099,0.00550122,3.22133e-06,-3.14158,-7.11702e-05,
5.49493,-0.32917,0.0430819,0.00549535,-2.21582e-06,3.14156,-3.05994e-05,
5.50202,-0.329218,0.0430898,0.00552188,0.000132551,-3.14148,-4.34013e-05,
5.50504,-0.329191,0.0430823,0.00549389,-2.9863e-05,3.14159,-5.50997e-05,
5.51293,-0.329191,0.0430885,0.00549717,3.01014e-05,-3.14157,1.89643e-06,
5.51604,-0.32917,0.0430811,0.00549703,1.01708e-05,3.14158,3.92137e-05,
5.52029,-0.329175,0.0430937,0.00550242,0.000112392,3.14158,1.27911e-05,
5.52758,-0.329179,0.0430848,0.00550437,2.31446e-05,-3.14159,1.23296e-05,
5.53069,-0.329184,0.0430803,0.00549726,-1.44954e-05,3.14159,5.8502e-05,
5.53883,-0.329189,0.0430824,0.00550364,9.44719e-05,-3.14156,3.73581e-06,
5.54602,-0.329173,0.0430748,0.00548734,-6.96796e-05,3.14152,4.39809e-06,
5.54905,-0.329186,0.0430816,0.00551379,1.56704e-05,-3.14155,-2.10551e-06,
5.55693,-0.329181,0.0430746,0.0054984,0.000120732,-3.14159,9.81976e-07,
5.56001,-0.329209,0.0430882,0.0055027,3.58929e-05,-3.14156,-2.2542e-05,
5.56797,-0.329168,0.0430743,0.00548866,-6.33944e-05,3.14154,-0.000136729,
5.5741,-0.329171,0.0430759,0.00549306,-3.0304e-06,3.14157,-5.65069e-05,
5.57722,-0.329182,0.0430825,0.00550132,1.62875e-05,3.14159,6.67178e-05,
5.58533,-0.329181,0.0430762,0.00550265,5.32166e-05,-3.14159,-1.34586e-06,
5.58842,-0.329165,0.0430699,0.00548781,-1.50167e-05,3.14152,-2.09955e-05,
5.59552,-0.32917,0.0430858,0.00548622,-2.84795e-05,3.14152,2.56697e-06,
5.60341,-0.329182,0.0430826,0.00549721,-6.62152e-05,3.14159,7.0963e-05,
5.60664,-0.329172,0.0430691,0.00547652,-7.93053e-05,3.14152,-0.000114432,
5.611,-0.329168,0.0430676,0.00548137,-8.12136e-05,3.14158,-8.18968e-05,
5.61562,-0.329163,0.0430583,0.00550823,-0.000130013,3.14156,-4.88119e-05,
5.61894,-0.32916,0.0430721,0.00549102,1.7008e-05,3.14156,-2.36632e-05,
5.62343,-0.329192,0.0430805,0.00551188,7.40256e-05,-3.14157,-1.84094e-05,
5.63147,-0.32916,0.0430782,0.00550835,-2.18948e-06,3.14156,2.14608e-05,
5.6345,-0.32918,0.0430863,0.005507,1.63738e-05,-3.14158,1.22052e-05,
5.64152,-0.329156,0.0430685,0.00548805,0.000113951,3.14151,-7.43044e-05,
5.64456,-0.329204,0.0430895,0.00549182,6.09893e-05,-3.14156,-3.80969e-05,
5.65249,-0.329176,0.0430874,0.00549685,-3.59962e-05,3.14159,-2.96865e-05,
5.65858,-0.329163,0.0430693,0.00548393,-6.29482e-05,3.14153,-7.97031e-05,
5.66168,-0.329173,0.0430762,0.00548935,-7.29309e-05,3.14158,-1.46755e-05,
5.6698,-0.329195,0.0430758,0.00549627,0.000158337,-3.14155,-2.58718e-06,
5.67698,-0.329164,0.0430663,0.00548843,-4.14014e-05,3.14155,-1.15904e-05,
5.68,-0.32916,0.0430728,0.00549279,-7.40344e-05,3.14152,-3.90946e-05,
5.68792,-0.329179,0.0430945,0.00550067,2.30624e-05,3.14158,5.19443e-05,
5.69096,-0.329162,0.0430634,0.00548131,3.57587e-05,3.14156,-0.000105046,
5.69911,-0.329172,0.0430843,0.00550221,1.49901e-05,3.14157,5.45707e-06,
5.70542,-0.329176,0.0430918,0.00549151,8.72093e-06,3.14158,1.52523e-05,
5.70845,-0.329166,0.0430543,0.00549137,-8.66706e-05,3.14153,-9.12138e-05,
5.71641,-0.329193,0.0430872,0.00550144,-4.11053e-05,-3.14154,3.62046e-05,
5.71944,-0.329196,0.0430743,0.00551065,0.000157661,-3.14153,-9.45929e-05,
5.7265,-0.329173,0.0430774,0.00548484,-6.08752e-05,3.14157,-4.20864e-05,
5.73442,-0.329164,0.0430839,0.00549782,2.0278e-05,3.14156,-3.89733e-05,
5.73744,-0.329193,0.0431029,0.00549798,1.0846e-05,-3.14154,-2.78541e-05,
5.74194,-0.32917,0.0430673,0.00547516,-7.43794e-05,3.14152,-3.23635e-05,
5.74812,-0.329186,0.0430945,0.00550225,-5.90271e-05,-3.14155,9.19344e-06,
5.75122,-0.32918,0.0430736,0.00549263,1.03333e-05,3.14158,-1.17694e-05,
5.7593,-0.329192,0.0430963,0.00550351,-1.41806e-05,-3.14157,-2.37103e-05,
5.76241,-0.329172,0.0430747,0.00549845,-8.07905e-05,3.14156,-3.51532e-05,
5.7695,-0.329161,0.0430777,0.00548503,-6.89964e-05,3.14155,-9.37029e-05,
5.77741,-0.329186,0.0430759,0.00549613,2.21062e-05,-3.14156,-2.20692e-05,
5.78045,-0.329179,0.0430823,0.00550666,1.07224e-05,-3.14157,-5.68268e-05,
5.7886,-0.329153,0.0430735,0.00548421,-5.65596e-05,3.14153,4.92144e-06,
5.7917,-0.329188,0.0430929,0.00549806,-6.87813e-05,-3.14157,-2.27609e-06,
5.79696,-0.329158,0.0430607,0.00548471,-5.91676e-05,3.1415,-2.98174e-05,
5.80493,-0.329175,0.0430795,0.00550347,2.78052e-05,3.14158,-7.32453e-06,
5.80796,-0.329163,0.0430814,0.00549784,-0.000120755,3.14157,5.67611e-06,
5.81502,-0.329177,0.043076,0.00547781,-2.40377e-06,3.14157,-9.88503e-05,
5.82291,-0.329222,0.0431009,0.00551494,9.90044e-05,-3.14148,-7.15661e-05,
5.82593,-0.329199,0.0430813,0.00549513,-3.48527e-05,3.14155,-1.79958e-05,
5.83398,-0.329166,0.0430917,0.0055022,8.10144e-05,3.14157,-4.13441e-05,
5.83701,-0.329166,0.0430979,0.00549446,9.5572e-07,3.14152,-2.24868e-05,
5.8431,-0.329176,0.0430709,0.00550723,8.71247e-06,-3.14158,8.39088e-05,
5.8512,-0.32918,0.0430841,0.00548207,2.92795e-05,3.14153,-5.27767e-05,
5.85431,-0.329176,0.0430769,0.00548682,5.29452e-06,3.14154,-4.55184e-05,
5.86147,-0.329171,0.0430773,0.0054952,-0.000107829,3.14154,6.38585e-06,
5.8645,-0.329166,0.0430683,0.00547584,-8.60977e-05,3.14151,-0.000100776,
5.87241,-0.329177,0.0430945,0.00548728,-1.43951e-05,3.14155,1.93482e-05,
5.87856,-0.32917,0.0430696,0.00548026,-2.91437e-05,3.14152,-7.96141e-05,
5.88159,-0.329204,0.0430863,0.00549201,0.000121339,-3.14158,1.64015e-05,
5.88891,-0.329173,0.0430791,0.00547608,-1.58183e-05,3.14153,-7.0591e-05,
5.89691,-0.329153,0.0430769,0.00549532,4.71659e-05,3.14156,-7.92321e-05,
5.89994,-0.329174,0.0430764,0.00549584,2.2646e-05,3.14157,-7.99005e-05,
5.90701,-0.329195,0.0430549,0.00550179,0.000110135,-3.14155,4.89606e-05,
5.91004,-0.329178,0.043086,0.00549796,-5.15593e-05,3.14157,-2.41614e-05,
5.91793,-0.329167,0.043092,0.00550463,1.54825e-05,3.14159,5.94933e-05,
5.92431,-0.329189,0.0431058,0.0054938,1.82148e-05,-3.14159,-4.18799e-05,
5.92756,-0.329174,0.0430739,0.00549776,-5.62353e-05,3.14159,-4.33726e-05,
5.93404,-0.329189,0.0431108,0.00551203,-6.67407e-05,-3.14156,-2.42675e-05,
5.94192,-0.329168,0.0430801,0.00548758,5.40739e-05,3.14155,-0.000118249,
5.94495,-0.329159,0.0430681,0.00548106,2.30081e-05,3.14153,-4.93457e-05,
5.95202,-0.32919,0.0430877,0.00551851,-4.36837e-05,-3.14155,3.74747e-06,
5.95505,-0.329199,0.0430812,0.00550752,0.000119164,-3.14152,1.48543e-05,
5.96292,-0.329193,0.0430893,0.00549205,-2.62926e-05,-3.14158,8.56063e-05,
5.96903,-0.329181,0.0430722,0.00549988,-2.89999e-05,3.14158,-5.28299e-05,
5.97206,-0.32918,0.0430809,0.00548689,-3.3066e-06,3.14157,2.10682e-05,
5.97933,-0.329167,0.0430794,0.00549902,-1.18831e-05,3.14155,-2.8028e-05,
5.98242,-0.329188,0.0430803,0.00548652,-9.96471e-05,3.14156,-2.08227e-05,
5.99042,-0.329184,0.0430768,0.00550064,2.12343e-05,-3.14155,7.14907e-06,
5.99751,-0.329166,0.0430642,0.00548659,-4.81191e-05,3.14156,-5.52755e-05,
