time,CH1,CH2,CH3,CH4,CH5,CH6,
5.16654,2233.8,1943.52,2097.48,1474.55,2190.5,2678.67,
5.1736,2233.67,1943.79,2097.83,1474.34,2190.29,2678.21,
5.17669,2233.59,1943.53,2098.06,1474.6,2190.57,2678.24,
5.18483,2233.79,1943.65,2097.58,1474.3,2190.28,2678.72,
5.19202,2233.98,1943.64,2097.81,1474.39,2190.27,2678.51,
5.19505,2233.49,1943.55,2097.59,1473.58,2191.35,2678.82,
5.20133,2234.13,1942.91,2097.52,1474.07,2190.26,2678.19,
5.2045,2234.07,1943.8,2097.74,1474.32,2190.29,2678.45,
5.21156,2233.95,1943.39,2097.55,1474.4,2190.62,2678.5,
5.21862,2233.45,1943.55,2097.38,1474.37,2190.37,2678.5,
5.22173,2233.89,1943.5,2097.97,1474.6,2190.52,2678.39,
5.22983,2233.84,1943.49,2097.75,1474.31,2190.54,2678.94,
5.237,2233.92,1943.57,2097.84,1474.21,2190.41,2678.09,
5.24003,2233.53,1943.44,2097.59,1473.87,2190.36,2679.68,
5.24803,2233.45,1944.2,2098.08,1474.36,2190.24,2678.62,
5.25118,2233.58,1943.46,2097.86,1474.43,2190.29,2678.81,
5.2564,2233.88,1943.36,2097.54,1474.37,2190.81,2678.66,
5.2636,2233.54,1943.56,2097.73,1474.34,2190.54,2678.09,
5.2667,2233.45,1943.48,2098,1474.4,2190.49,2678.61,
5.27483,2233.82,1943.59,2097.76,1474.31,2190.52,2678.94,
5.28202,2233.76,1943.55,2097.76,1474.41,2190.69,2678.31,
5.28505,2233.69,1943.51,2097.86,1474.69,2190.78,2678.58,
5.29102,2233.85,1943.59,2097.48,1474.25,2190.35,2678.63,
5.29406,2233.62,1943.72,2097.87,1474.18,2190.19,2678.46,
5.30197,2233.62,1943.43,2097.65,1474.41,2190.14,2678.72,
5.30811,2233.9,1943.47,2097.5,1474.53,2190.28,2678.37,
5.31122,2233.43,1943.23,2097.58,1474.56,2190.78,2678.44,
5.31933,2233.38,1943.44,2097.54,1474.34,2190.27,2678.16,
5.32243,2234.15,1943.64,2097.63,1474.31,2190.18,2678.44,
5.3295,2233.54,1943.54,2097.49,1474.42,2190.87,2678.71,
5.3356,2233.9,1943.33,2097.2,1474.46,2190.31,2678.67,
5.33893,2233.11,1944.39,2096.66,1473.87,2190.5,2677.79,
5.34345,2234.22,1943.03,2097.08,1473.79,2190.71,2678.91,
5.34888,2233.79,1943.49,2097.71,1474.53,2190.52,2678.4,
5.35193,2233.74,1943.72,2097.72,1474.34,2190.63,2678.1,
5.35725,2233.88,1943.47,2097.54,1474.44,2190.37,2678.82,
5.36444,2233.88,1943.52,2097.5,1474.4,2190.34,2678.48,
5.36749,2233.58,1943.35,2097.67,1474.49,2190.34,2678.6,
5.37544,2233.71,1943.38,2097.75,1474.26,2190.37,2677.33,
5.3785,2233.67,1943.71,2097.67,1474.45,2190.64,2678.25,
5.38648,2233.83,1943.44,2097.78,1474.31,2190.64,2678.7,
5.39262,2233.79,1943.5,2097.75,1474.35,2190.17,2678.27,
5.39573,2233.87,1943.48,2097.74,1474.51,2190.26,2678.57,
5.40292,2233.8,1943.79,2097.68,1474.42,2190.43,2678.98,
5.41092,2233.81,1943.48,2097.78,1474.37,2190.25,2678.45,
5.41395,2233.79,1943.74,2097.67,1474.64,2190.7,2678.55,
5.42101,2233.83,1943.59,2098.01,1474.36,2190.42,2677.87,
5.42418,2234.08,1943.72,2097.58,1474.55,2190.17,2678.4,
5.43159,2233.41,1943.51,2097.7,1474.24,2190.41,2678.28,
5.4389,2233.59,1943.54,2097.59,1474.42,2190.16,2677.95,
5.44193,2233.71,1943.77,2097.97,1474.46,2190.32,2678.03,
5.44992,2233.51,1943.19,2097.51,1474.53,2190.38,2678.66,
5.457,2233.83,1943.55,2097.52,1474.24,2190.29,2678.57,
5.46002,2233.78,1943.46,2097.51,1474.41,2190.2,2678.09,
5.46793,2232.99,1943.55,2098.52,1473.79,2190.28,2678.46,
5.47119,2233.51,1944.56,2097.11,1473.84,2190.45,2678.59,
5.47765,2233.63,1943.63,2097.52,1474.38,2190.57,2678.64,
5.48396,2233.88,1943.38,2097.76,1474.41,2189.95,2678.33,
5.487,2233.86,1943.73,2097.63,1474.48,2190.42,2678.44,
5.49493,2233.65,1943.29,2097.49,1474.21,2190.28,2678.64,
5.50202,2233.59,1943.77,2097.78,1474.51,2190.54,2678.49,
5.50504,2233.58,1943.34,2097.35,1474.5,2190.47,2678.61,
5.51293,2233.05,1943.67,2097.38,1474.43,2190.33,2678.21,
5.51604,2233.41,1943.35,2097.49,1474.6,2190.42,2678.25,
5.52029,2233.75,1943.46,2097.55,1474.4,2190.57,2678.41,
5.52758,2233.73,1943.28,2097.65,1474.44,2190.21,2678.37,
5.53069,2233.57,1943.5,2097.87,1474.52,2190.5,2678.48,
5.53883,2233.41,1943.37,2097.73,1474.34,2190.3,2678.92,
5.54602,2233.83,1943.4,2097.71,1474.53,2190.5,2678.26,
5.54905,2233.73,1943.3,2097.63,1474.58,2190.37,2678.1,
5.55693,2233.79,1943.59,2095.96,1474.9,2190.22,2678.32,
5.56001,2233.73,1943.77,2097.85,1474.49,2190.37,2678.28,
5.56797,2233.49,1943.37,2097.46,1474.51,2190.11,2678.77,
5.5741,2233.72,1943.48,2097.59,1474.37,2190.64,2678.4,
5.57722,2233.99,1943.5,2097.51,1474.36,2190.33,2678.65,
5.58533,2233.58,1943.44,2097.86,1474.36,2190.21,2678.21,
5.58842,2233.81,1943.68,2097.88,1474.55,2190.42,2678.63,
5.59552,2233.44,1943.4,2097.8,1474.38,2190.6,2678.9,
5.60341,2233.89,1944.13,2096.8,1473.56,2191.13,2678.12,
5.60664,2234.93,1943.63,2098.43,1473.39,2190.68,2678.69,
5.611,2233.62,1944.25,2096.53,1474.69,2190.36,2678.66,
5.61562,2233.88,1943.91,2096.86,1474.41,2190.35,2678.58,
5.61894,2233.65,1943.05,2097.47,1473.95,2190.37,2678.29,
5.62343,2233.81,1944.56,2096.76,1473.9,2190.38,2678.44,
5.63147,2233.93,1943.53,2098.05,1474.31,2190.45,2678.36,
5.6345,2233.8,1943.4,2097.79,1474.5,2190.37,2678.68,
5.64152,2233.79,1943.38,2097.71,1474.17,2190.1,2678.22,
5.64456,2234.12,1943.39,2097.86,1474.6,2190.25,2678.52,
5.65249,2233.54,1943.3,2097.3,1474.47,2190.7,2678.68,
5.65858,2233.71,1943.27,2097.59,1474.39,2190.33,2678.33,
5.66168,2233.57,1943.37,2097.99,1474.4,2190.41,2678.2,
5.6698,2233.71,1943.5,2097.61,1474.37,2190.28,2678.58,
5.67698,2233.68,1943.4,2097.68,1474.5,2190.36,2678.68,
5.68,2233.39,1943.47,2097.64,1474.5,2190.84,2678.41,
5.68792,2233.55,1943.37,2097.89,1474.55,2190.42,2678.48,
5.69096,2233.73,1943.78,2098.16,1473.76,2190.93,2679.03,
5.69911,2233.81,1943.58,2097.49,1474.53,2190.31,2678.97,
5.70542,2233.79,1943.69,2097.8,1474.42,2190.5,2678.23,
5.70845,2233.51,1943.45,2097.69,1474.36,2190.49,2678.56,
5.71641,2233.85,1943.37,2097.44,1474.45,2190.36,2678.45,
5.71944,2233.87,1943.78,2097.55,1474.38,2190.15,2678.36,
5.7265,2233.42,1943.65,2097.69,1474.36,2191.1,2678.25,
5.73442,2233.79,1943.45,2098.08,1474.29,2190.35,2678.02,
5.73744,2233.73,1942.96,2098.03,1473.85,2190.57,2677.66,
5.74194,2233.91,1943.27,2097.54,1473.78,2190.13,2678.59,
5.74812,2233.72,1943.4,2097.83,1474.5,2190.03,2678.4,
5.75122,2233.38,1943.36,2097.65,1474.51,2190.35,2678.29,
5.7593,2233.45,1943.43,2097.57,1474.58,2190.2,2678.41,
5.76241,2234.13,1943.62,2097.74,1474.35,2190.5,2678.08,
