time,FX,FY,FZ,RX,RY,RZ,
21.5134,-4.3263,4.22413,-0.894194,-0.229644,0.244379,-0.255743,
21.5195,-4.3263,4.22413,-0.894194,-0.229644,0.244379,-0.255743,
21.5225,-4.3263,4.22413,-0.894194,-0.229644,0.244379,-0.255743,
21.5288,-4.3263,4.22413,-0.894194,-0.229644,0.244379,-0.255743,
21.5349,-4.3263,4.22413,-0.894194,-0.229644,0.244379,-0.255743,
21.538,-4.3263,4.22413,-0.894194,-0.229644,0.244379,-0.255743,
21.5443,-4.3263,4.22413,-0.894194,-0.229644,0.244379,-0.255743,
21.5516,-4.3263,4.22413,-0.894194,-0.229644,0.244379,-0.255743,
21.5547,-4.3263,4.22413,-0.894194,-0.229644,0.244379,-0.255743,
21.561,-4.3263,4.22413,-0.894194,-0.229644,0.244379,-0.255743,
21.5641,-4.16362,4.24489,-0.795619,-0.228633,0.248038,-0.259518,
21.5704,-4.38121,4.36276,-0.868919,-0.232594,0.242672,-0.25146,
21.5764,-4.64857,4.18086,-0.861646,-0.231569,0.23861,-0.257087,
21.5795,-4.24029,4.19745,-0.795848,-0.229139,0.245255,-0.25112,
21.5858,-4.27746,4.37083,-0.890657,-0.233922,0.246116,-0.25776,
21.591,-4.5298,3.85628,-0.878394,-0.221187,0.239584,-0.252577,
21.5943,-4.37088,4.17229,-0.912147,-0.22948,0.243843,-0.256308,
21.6024,-4.4761,4.30465,-0.978926,-0.23293,0.240473,-0.261645,
21.6074,-4.55814,4.26963,-0.956952,-0.231552,0.238433,-0.257181,
21.6105,-4.43731,4.11868,-0.963307,-0.226578,0.242985,-0.261364,
21.6168,-4.34299,4.32783,-0.989312,-0.230675,0.244174,-0.261207,
21.6199,-4.40616,4.13793,-0.889338,-0.228388,0.241788,-0.258746,
21.626,-4.50068,4.05699,-0.951024,-0.226572,0.240075,-0.254258,
21.6313,-4.34028,4.32305,-1.02859,-0.234414,0.244224,-0.256048,
21.6344,-4.27396,4.16314,-1.01548,-0.232307,0.244115,-0.252636,
21.6405,-4.51196,4.12187,-1.00431,-0.226457,0.238232,-0.254641,
21.6489,-4.30475,4.22761,-0.814827,-0.228602,0.242869,-0.259616,
21.6519,-4.33645,4.28095,-0.989461,-0.232839,0.244101,-0.258995,
21.657,-4.59263,4.21164,-0.956799,-0.229688,0.238589,-0.252531,
21.6601,-4.37557,4.2129,-1.05776,-0.23025,0.24397,-0.25275,
21.6664,-4.42399,4.09839,-0.874158,-0.223531,0.239977,-0.251119,
21.6716,-4.4887,4.23349,-0.796679,-0.230374,0.238931,-0.256145,
21.6747,-4.34946,4.42592,-0.871688,-0.2345,0.243045,-0.259441,
21.6809,-4.25367,4.32448,-0.777547,-0.232673,0.244795,-0.259133,
21.686,-4.27876,3.9786,-0.793165,-0.225649,0.243672,-0.2542,
21.6894,-4.229,4.18665,-0.768839,-0.228217,0.244839,-0.253654,
21.6939,-4.4552,4.10471,-0.995471,-0.226347,0.244584,-0.258995,
21.7,-4.60186,4.30317,-0.834516,-0.23021,0.23664,-0.262053,
21.7031,-4.57063,4.13313,-0.672263,-0.228115,0.240974,-0.252604,
21.7095,-4.55554,4.29617,-0.818685,-0.229932,0.240937,-0.25842,
21.7155,-4.61402,4.40439,-0.884329,-0.235777,0.239111,-0.259532,
21.7186,-4.55028,4.32559,-0.884327,-0.232209,0.238798,-0.260327,
21.7248,-4.37951,4.33035,-0.893444,-0.231351,0.241657,-0.257908,
21.7279,-4.37863,4.14302,-0.811259,-0.226028,0.241186,-0.254709,
21.7359,-4.58755,4.05771,-0.889478,-0.225088,0.237308,-0.253214,
21.742,-4.25322,4.50731,-0.834554,-0.238575,0.244841,-0.257511,
21.8639,-4.19261,4.18807,-0.831297,-0.230966,0.246044,-0.258471,
21.8721,-4.32867,4.13201,-0.84393,-0.228645,0.244846,-0.257889,
21.8777,-4.34282,4.14439,-0.981539,-0.226399,0.245037,-0.261188,
21.8808,-4.20798,4.28499,-0.901,-0.231992,0.247329,-0.255391,
21.887,-4.39241,4.10861,-0.806045,-0.228607,0.24229,-0.249111,
21.8933,-4.63983,4.08776,-0.897327,-0.228641,0.238822,-0.249533,
21.8964,-4.36633,4.3835,-0.833064,-0.23252,0.244818,-0.258837,
21.9025,-4.28243,4.26476,-0.8449,-0.231646,0.244009,-0.257945,
21.9087,-4.56483,4.0334,-0.866995,-0.226354,0.238846,-0.252342,
21.912,-4.46514,4.2476,-0.812343,-0.230742,0.245074,-0.257745,
21.9178,-4.57754,4.27747,-0.90241,-0.233577,0.23731,-0.263683,
21.9232,-4.26599,4.33187,-0.878656,-0.232663,0.245341,-0.254876,
21.9265,-4.40662,4.26023,-0.879042,-0.233651,0.241076,-0.259822,
21.9317,-4.55177,4.10767,-0.788965,-0.226855,0.235096,-0.253125,
21.9379,-4.3909,4.18864,-0.828008,-0.23062,0.244732,-0.255406,
21.941,-4.4149,4.21364,-0.829802,-0.234359,0.247518,-0.257697,
21.9473,-4.14705,4.35729,-0.944615,-0.233678,0.246009,-0.252809,
21.9525,-4.49716,4.15908,-0.88134,-0.22731,0.240932,-0.255293,
21.9559,-4.38992,4.28638,-0.919541,-0.228693,0.239072,-0.259156,
21.9602,-4.4693,4.26765,-0.839861,-0.232221,0.241194,-0.255385,
21.9664,-4.4458,4.14687,-0.866454,-0.228532,0.240098,-0.250758,
21.9695,-4.54381,4.12842,-0.681254,-0.226847,0.241233,-0.250255,
21.9757,-4.37164,4.18242,-0.915181,-0.229419,0.241102,-0.257246,
21.9789,-4.66661,4.38901,-0.716784,-0.232879,0.237461,-0.259862,
21.985,-4.65423,4.38237,-0.776226,-0.234108,0.237412,-0.258104,
21.9903,-4.4323,4.31061,-0.867813,-0.230212,0.242587,-0.256864,
21.9934,-4.33584,4.20579,-0.835485,-0.229251,0.246624,-0.259083,
21.9994,-4.43952,3.8115,-0.868182,-0.219858,0.24183,-0.252746,
22.0048,-4.52325,4.0838,-0.790855,-0.226771,0.241952,-0.255417,
22.0079,-4.3152,4.29785,-0.741282,-0.23159,0.245042,-0.254747,
22.014,-4.39666,4.43087,-0.873498,-0.235975,0.241967,-0.255277,
22.017,-4.52692,4.32235,-0.826769,-0.233024,0.239128,-0.255931,
22.0233,-4.50859,4.16003,-0.887432,-0.228878,0.241299,-0.257099,
22.0285,-4.50054,4.06239,-0.788261,-0.22386,0.239111,-0.254814,
22.0317,-4.42631,4.14166,-0.797117,-0.226858,0.241249,-0.253243,
22.0379,-4.35524,4.38707,-0.900655,-0.2328,0.241771,-0.257509,
22.044,-4.41101,4.34238,-0.850637,-0.232607,0.23996,-0.260635,
22.0472,-4.35888,4.14389,-0.798684,-0.229057,0.242285,-0.252865,
22.0534,-4.27675,4.17771,-0.860296,-0.226393,0.246524,-0.256446,
22.0594,-4.7508,4.26766,-0.876074,-0.231806,0.23572,-0.253194,
22.0625,-4.55763,4.11905,-0.758693,-0.227723,0.236623,-0.253203,
22.0679,-4.47025,4.1627,-0.717709,-0.226133,0.238189,-0.251744,
22.0709,-4.28848,4.28452,-0.780408,-0.230418,0.242027,-0.254277,
22.077,-4.33291,4.30523,-0.858231,-0.230895,0.243095,-0.26004,
22.0832,-4.29424,4.16306,-0.840613,-0.228136,0.246404,-0.250401,
22.0863,-4.28585,4.33621,-0.687297,-0.232971,0.246045,-0.259842,
22.0945,-4.48309,4.13001,-0.740745,-0.226559,0.239964,-0.254285,
22.0992,-4.54102,4.20346,-0.806439,-0.227313,0.239599,-0.256287,
22.1025,-4.58353,4.08947,-0.677909,-0.227956,0.239978,-0.251974,
22.1092,-4.48965,4.24132,-0.838429,-0.228748,0.238293,-0.261382,
22.1138,-4.43512,4.30583,-0.797198,-0.228879,0.240981,-0.254175,
22.1169,-4.38791,4.19123,-0.725474,-0.229353,0.242733,-0.256158,
22.123,-4.31133,4.16947,-0.739441,-0.228123,0.246221,-0.256116,
22.1292,-4.46661,4.12708,-0.814582,-0.22666,0.243072,-0.258107,
22.1324,-4.48279,4.12594,-0.688795,-0.227476,0.239899,-0.254376,
22.1385,-4.45256,4.243,-0.582184,-0.23081,0.239864,-0.256245,
22.1448,-4.40293,4.12008,-0.727607,-0.226041,0.24212,-0.25479,
22.1479,-4.31091,4.32139,-0.742931,-0.233847,0.241016,-0.26258,
22.153,-4.67712,4.11727,-0.78674,-0.227575,0.236501,-0.2485,
22.1593,-4.61867,4.08449,-0.580924,-0.229245,0.236666,-0.252595,
22.1624,-4.37548,4.32112,-0.609638,-0.231389,0.243268,-0.258278,
22.1684,-4.38968,4.15255,-0.786798,-0.227801,0.240016,-0.255459,
22.1716,-4.35343,4.24721,-0.789815,-0.229403,0.243275,-0.254162,
22.1778,-4.48344,4.21001,-0.842512,-0.23005,0.242876,-0.263459,
22.186,-4.54247,4.25965,-0.781113,-0.231872,0.237983,-0.256203,
22.1892,-4.37817,4.35987,-0.614257,-0.232727,0.244859,-0.256692,
22.1935,-4.40722,4.05796,-0.778975,-0.224693,0.242626,-0.254715,
22.1998,-4.53345,4.05745,-0.872517,-0.225307,0.240119,-0.253064,
22.2029,-4.51003,4.19736,-0.914812,-0.227136,0.240635,-0.259545,
22.209,-4.54971,4.18561,-0.847818,-0.22839,0.240961,-0.257551,
22.2121,-4.39223,4.21597,-0.858541,-0.229332,0.244308,-0.255115,
22.2183,-4.55816,4.23901,-0.839179,-0.230273,0.240329,-0.26235,
22.2245,-4.53298,4.04766,-0.944654,-0.227792,0.238884,-0.258828,
22.2277,-4.47178,4.20398,-0.917634,-0.230076,0.240579,-0.257944,
22.2332,-4.46018,4.10971,-0.865727,-0.229761,0.241217,-0.256974,
22.2395,-4.54779,4.26222,-0.937328,-0.228661,0.238182,-0.255679,
22.2426,-4.26881,4.25396,-0.995513,-0.229391,0.243162,-0.261027,
22.2488,-4.34546,4.23445,-0.91484,-0.232284,0.241486,-0.252334,
22.2549,-4.55234,4.13197,-0.972024,-0.230404,0.238395,-0.251866,
22.258,-4.40764,4.25137,-1.09195,-0.231694,0.242087,-0.257289,
