time,x,y,z,r,p,y,
21.5134,-0.329192,0.04308,0.00550282,-6.21076e-05,3.14159,3.17655e-05,
21.5195,-0.329192,0.04308,0.00550282,-6.21076e-05,3.14159,3.17655e-05,
21.5225,-0.329192,0.04308,0.00550282,-6.21076e-05,3.14159,3.17655e-05,
21.5288,-0.329192,0.04308,0.00550282,-6.21076e-05,3.14159,3.17655e-05,
21.5349,-0.329192,0.04308,0.00550282,-6.21076e-05,3.14159,3.17655e-05,
21.538,-0.329192,0.04308,0.00550282,-6.21076e-05,3.14159,3.17655e-05,
21.5443,-0.329192,0.04308,0.00550282,-6.21076e-05,3.14159,3.17655e-05,
21.5516,-0.329192,0.04308,0.00550282,-6.21076e-05,3.14159,3.17655e-05,
21.5547,-0.329192,0.04308,0.00550282,-6.21076e-05,3.14159,3.17655e-05,
21.561,-0.329192,0.04308,0.00550282,-6.21076e-05,3.14159,3.17655e-05,
21.5641,-0.329197,0.0431006,0.0055176,4.93085e-05,-3.14153,-2.74137e-05,
21.5704,-0.329201,0.0431062,0.0055135,1.19917e-05,-3.14153,-4.98419e-05,
21.5764,-0.329194,0.0430811,0.00550341,7.4773e-05,-3.14158,1.78685e-05,
21.5795,-0.329202,0.0431093,0.00550688,2.40163e-05,-3.14155,-4.22226e-05,
21.5858,-0.329183,0.0430968,0.00551151,-0.000101788,-3.14157,-6.75966e-05,
21.591,-0.329183,0.0430886,0.00549257,4.10014e-05,3.14159,1.24093e-05,
21.5943,-0.329192,0.0430865,0.0055024,-2.93016e-05,-3.14158,2.66516e-06,
21.6024,-0.329209,0.0431027,0.00551137,-3.35196e-05,-3.14152,-8.54732e-05,
21.6074,-0.329209,0.0431049,0.00551091,5.62721e-05,-3.14153,-8.25873e-05,
21.6105,-0.329186,0.0431011,0.00551601,-4.76713e-05,-3.14154,-0.00010605,
21.6168,-0.32918,0.0430885,0.00550443,-0.000114567,3.14157,5.04634e-05,
21.6199,-0.329173,0.043091,0.00550843,4.76028e-05,3.14158,-7.27035e-05,
21.626,-0.329177,0.0430845,0.0054978,2.68752e-05,3.14159,-1.89571e-05,
21.6313,-0.329165,0.0430948,0.00551076,-7.74732e-05,3.14153,9.01522e-06,
21.6344,-0.329191,0.0431111,0.00551068,-6.57562e-05,-3.14156,-9.6677e-05,
21.6405,-0.329214,0.0431249,0.00551983,-4.41017e-05,-3.14149,-9.17528e-05,
21.6489,-0.32918,0.0430967,0.00550403,5.66027e-05,-3.14154,-5.07144e-05,
21.6519,-0.329182,0.0431009,0.00549212,0.000125057,3.14156,1.47492e-05,
21.657,-0.329178,0.0430924,0.00550201,7.04806e-05,-3.14157,2.51163e-05,
21.6601,-0.329209,0.0430996,0.00550529,-3.21426e-05,-3.14149,4.80718e-05,
21.6664,-0.3292,0.0430852,0.00549806,-1.60018e-05,-3.14157,8.26423e-05,
21.6716,-0.3292,0.0431115,0.00551858,-6.59114e-05,-3.14153,-8.32307e-05,
21.6747,-0.329223,0.043092,0.00551701,7.71743e-05,-3.14147,-2.82803e-05,
21.6809,-0.32918,0.0430938,0.00550182,2.20096e-06,3.14157,6.36803e-05,
21.686,-0.329201,0.0431231,0.00550707,-7.26853e-05,-3.14157,-7.25922e-05,
21.6894,-0.329183,0.0430968,0.00549681,-4.49001e-06,3.14156,3.16455e-05,
21.6939,-0.329181,0.0430785,0.00549924,1.89089e-05,-3.14155,4.3549e-05,
21.7,-0.329196,0.0430825,0.00550466,3.14077e-05,-3.14159,-4.42504e-05,
21.7031,-0.329211,0.0431012,0.00551653,1.88432e-05,-3.14148,-4.16247e-05,
21.7095,-0.329191,0.0430725,0.00550636,4.80613e-05,-3.14156,-2.61879e-05,
21.7155,-0.32919,0.0430988,0.00550446,-3.30387e-05,-3.14158,-6.80358e-06,
