time,CH1,CH2,CH3,CH4,CH5,CH6,
21.5134,2303.47,1933.5,2109.07,1614.91,1600.42,1581.13,
21.5195,2304.27,1933.83,2148.34,1615.06,1600.12,1581.17,
21.5225,2304.05,1933.62,2109.17,1614.71,1600.32,1581.25,
21.5288,2303.95,1933.68,2109.3,1614.71,1600.14,1581.16,
21.5349,2304.22,1933.65,2109.21,1614.96,1600.29,1581.42,
21.538,2303.91,1933.99,2109.6,1614.77,1600.12,1580.98,
21.5443,2304.12,1933.72,2109.5,1614.66,1600.2,1581.26,
21.5516,2304.29,1933.87,2109.28,1614.81,1600.26,1581.09,
21.5547,2303.94,1933.65,2109.43,1614.81,1600.28,1581.36,
21.561,2304.1,1933.76,2109.33,1615.07,1600.18,1581.12,
21.5641,2304.22,1933.7,2109.24,1614.93,1600.06,1580.99,
21.5704,2303.99,1933.48,2109.12,1615.22,1600.46,1581.13,
21.5764,2304.21,1933.99,2109.1,1615.03,1600.33,1581.11,
21.5795,2303.86,1934.05,2109.54,1614.89,1600.17,1581.41,
21.5858,2303.83,1933.72,2070.39,1615.14,1600.25,1581.04,
21.591,2303.96,1933.88,2109.58,1614.9,1600.28,1580.67,
21.5943,2266.23,1934.33,2109.23,1614.73,1600.2,1581.15,
21.6024,2303.79,1933.7,2109.38,1614.68,1600.29,1581.24,
21.6074,2304.32,1933.72,2109.24,1615.09,1600.18,1581.05,
21.6105,2304.05,1933.85,2109.33,1614.99,1600.23,1581.2,
21.6168,2304.06,1933.29,2109.15,1614.8,1600.18,1581.24,
21.6199,2304.24,1933.84,2109.14,1614.92,1600.25,1581.24,
21.626,2303.8,1933.83,2109.16,1614.8,1600.33,1581.07,
21.6313,2304,1933.71,2108.95,1614.62,1600.26,1580.99,
21.6344,2303.78,1933.69,2148.29,1614.83,1599.92,1581.83,
21.6405,2304.05,1933.73,2107.88,1615.19,1600.21,1581.4,
21.6489,2303.94,1934.05,2109.1,1614.73,1600.15,1581.1,
21.6519,2304.19,1933.74,2109.17,1614.85,1600.27,1581.26,
21.657,2303.81,1933.58,2109.16,1614.7,1600.19,1580.96,
21.6601,2303.96,1933.77,2109.22,1614.92,1600.17,1581.12,
21.6664,2303.87,1933.5,2109.06,1614.94,1600.32,1581.12,
21.6716,2303.83,1933.46,2109.13,1614.98,1600.24,1580.93,
21.6747,2304.31,1933.79,2109.36,1614.71,1600.28,1580.97,
21.6809,2304.04,1933.8,2109.1,1614.72,1600.38,1581.3,
21.686,2304.04,1933.7,2108.29,1615.38,1600.64,1581.36,
21.6894,2304.17,1933.87,2109.09,1614.09,1600.16,1581.23,
21.6939,2304.18,1934.17,2109.21,1614.85,1600.14,1581.26,
21.7,2304.07,1933.89,2109.07,1614.85,1600.26,1580.97,
21.7031,2303.93,1933.61,2070.45,1614.96,1600.28,1581.08,
21.7095,2304.07,1933.66,2109.64,1614.5,1600.18,1581.19,
21.7155,2304.28,1933.97,2109.48,1614.97,1600.28,1581.04,
21.7186,2303.9,1933.6,2109.12,1614.85,1599.92,1581.21,
21.7248,2303.98,1933.7,2109.28,1614.8,1600.13,1581.04,
21.7279,2304.38,1933.98,2109.3,1614.81,1600.05,1580.98,
21.7359,2304.06,1933.74,2109,1614.83,1600.14,1581.15,
21.742,2304.06,1933.8,2109.24,1614.7,1600.18,1581.01,
21.8639,2304.45,1934.13,2109.77,1613.98,1600.38,1581.4,
21.8721,2304.52,1934.02,2108.36,1614.86,1600.21,1581.32,
21.8777,2304.02,1933.69,2109.19,1614.99,1600.12,1581.07,
21.8808,2304.19,1933.7,2108.96,1614.71,1600.2,1581.06,
21.887,2303.88,1933.67,2108.96,1614.68,1600.11,1581.12,
21.8933,2304.18,1933.65,2109.22,1614.72,1600.1,1581.01,
21.8964,2303.8,1934.15,2148.38,1615.03,1600.12,1581.22,
21.9025,2303.94,1933.82,2148.34,1614.61,1599.89,1578.47,
21.9087,2302.2,1933.04,2107.44,1613.62,1600.22,1580.45,
21.912,2343.23,1933.82,2109.58,1614.26,1600.7,1581.23,
21.9178,2303.93,1933.5,2109.68,1614.75,1600.16,1581.84,
21.9232,2304.44,1933.76,2108.71,1615.45,1600.26,1581.2,
21.9265,2304.09,1930.77,2106.9,1613.75,1599.42,1580.55,
21.9317,2303.27,1933.28,2108.84,1614.38,1599.89,1581.14,
21.9379,2303.95,1933.89,2148.38,1614.69,1600.08,1581.09,
21.941,2303.92,1933.56,2109.54,1614.79,1600.25,1581.01,
21.9473,2303.97,1933.8,2108.98,1614.8,1600.08,1581.43,
21.9525,2304.02,1933.65,2109.2,1614.2,1600.1,1581.2,
21.9559,2303.69,1933.67,2109.41,1614.85,1600.19,1580.96,
21.9602,2304.03,1933.61,2109.11,1614.74,1600.19,1581.28,
21.9664,2303.83,1934.02,2109.44,1614.79,1600.21,1581.12,
21.9695,2304.03,1933.84,2109.07,1615.03,1600.06,1581.13,
21.9757,2303.98,1933.7,2109.03,1614.75,1600.11,1580.91,
21.9789,2304.23,1934.19,2109.04,1614.75,1600.06,1581.01,
21.985,2303.62,1933.61,2109.28,1614.72,1600.21,1581.31,
