Relative_Time(s),Ard_Micros,CH1(V),CH2(V),CH3(V),CH4(V),CH5(V),CH6(V)
0.000000,65204044,0.95598232,1.53380293,1.29142359,1.04484034,1.50138158,0.84889780
0.003023,65207067,0.95593941,1.53380293,1.29159824,1.04513836,1.50101024,0.84901403
0.010099,65214143,0.95568311,1.53365571,1.29170433,1.04525817,1.50092620,0.84899793
0.013164,65217208,0.95604073,1.53360027,1.29165546,1.04480279,1.50128084,0.84903668
0.017526,65221570,0.95595371,1.53354365,1.29165188,1.04496432,1.50123733,0.84914158
0.021645,65225689,0.95594418,1.53379637,1.29143492,1.04497266,1.50119561,0.84912489
0.024712,65228756,0.95566821,1.53368193,1.29151062,1.04498637,1.50136668,0.84901701
0.032824,65236868,0.95585894,1.53348047,1.29160002,1.04489577,1.50123674,0.84909390
0.040057,65244101,0.95592808,1.53364140,1.29143253,1.04488922,1.50102276,0.84887753
0.043075,65247119,0.95551562,1.53343338,1.29162029,1.04506028,1.50179166,0.84914098
0.050192,65254236,0.95612299,1.53376657,1.29161671,1.04490531,1.50138158,0.84891925
0.053289,65257333,0.95411729,1.53598923,1.29147903,1.04185057,1.50506336,0.84721695
0.061621,65265665,0.95965755,1.53437394,1.28862516,1.04500068,1.50138217,0.84884952
0.067893,65271937,0.95592153,1.53362054,1.29155353,1.04498101,1.50133151,0.84910641
0.071002,65275046,0.95606577,1.53380710,1.29183546,1.04484034,1.50142866,0.84908376
0.079006,65283050,0.95593166,1.53359431,1.29165069,1.04488683,1.50141734,0.84912966
0.086120,65290164,0.95592689,1.53343994,1.29161850,1.04477835,1.50117415,0.84887574
0.089148,65293192,0.95623087,1.53346557,1.29177526,1.04496432,1.50150079,0.84907423
0.096234,65300278,0.95593464,1.53351444,1.29145578,1.04487432,1.50119203,0.84910582
0.104376,65308420,0.95861864,1.53093058,1.29617647,1.04504359,1.49752218,0.85152636
0.107608,65311652,0.95575165,1.53361756,1.29163936,1.04499710,1.50151628,0.84890078
0.113599,65317643,0.95594775,1.53314847,1.29163817,1.04487730,1.50134343,0.84909628
0.116640,65320684,0.95602643,1.53369683,1.29173652,1.04487432,1.50133628,0.84896455
0.124516,65328560,0.95585238,1.53358955,1.29179255,1.04484869,1.50146085,0.84913800
0.131611,65335655,0.95581960,1.53361577,1.29152492,1.04498101,1.50119442,0.84898661
0.134635,65338679,0.95595908,1.53347928,1.29143313,1.04495836,1.50139052,0.84917794
0.141716,65345760,0.95590484,1.53390664,1.29162267,1.04494167,1.50142211,0.84885131
0.144812,65348856,0.95584344,1.53368789,1.29158751,1.04502750,1.50140184,0.84891329
0.152965,65357009,0.95595610,1.53360564,1.29157320,1.04490769,1.50145131,0.84913204
0.160094,65364138,0.95580768,1.53363485,1.29130379,1.04480577,1.50103050,0.84905635
0.163126,65367170,0.95604372,1.53355796,1.29178778,1.04502333,1.50151330,0.84917675
0.171011,65375055,0.95605087,1.53361696,1.29154340,1.04491902,1.50145310,0.84905217
0.174078,65378122,0.95620346,1.53389353,1.29182831,1.04494525,1.50156873,0.84908257
0.180216,65384260,0.95586013,1.53330225,1.29169956,1.04479921,1.50150555,0.84911237
0.188351,65392395,0.95593404,1.53380651,1.29146472,1.04485941,1.50120097,0.84906767
0.191496,65395540,0.95364046,1.53366286,1.29166618,1.04477120,1.50144774,0.84895859
0.197619,65401663,0.95582795,1.53384525,1.29156009,1.04497862,1.50131482,0.84926854
0.205489,65409533,0.95593345,1.53357643,1.29139022,1.04491008,1.50136548,0.84893952
0.208516,65412560,0.95586371,1.53339881,1.29140929,1.04486836,1.50161821,0.84897767
0.215587,65419631,0.95590662,1.53349895,1.29159168,1.04472888,1.50114077,0.84912727
0.218649,65422693,0.95591557,1.53392095,1.29162148,1.04510618,1.50120991,0.84923516
0.225744,65429788,0.95584821,1.53362173,1.29145101,1.04490054,1.50129634,0.84906231
0.233851,65437895,0.95587921,1.53342623,1.29166380,1.04468477,1.50133151,0.84728251
0.237027,65441071,0.95725369,1.53419990,1.29186526,1.04703379,1.49900514,0.84969113
